,no,cv_no,region,temp_I,integ_I
0,cv_no0,"[173, 352, 174]",34,0.228,5.994999999999999
1,cv_no1,"[116, 384, 292]",34,0.0,0.064
2,cv_no2,"[290, 328, 147]",34,0.465,8.648
3,cv_no3,"[160, 317, 161]",34,0.39,8.376
4,cv_no4,"[305, 326, 222]",34,0.02,1.6249999999999998
5,cv_no5,"[127, 368, 17]",34,0.523,8.396
6,cv_no6,"[24, 349, 184]",34,0.262,4.474
7,cv_no7,"[178, 353, 179]",34,0.237,4.848
8,cv_no8,"[272, 386, 335]",34,0.027,0.6110000000000001
9,cv_no9,"[297, 390, 224]",34,0.182,3.582
10,cv_no10,"[16, 320, 120]",34,0.513,8.132
11,cv_no11,"[168, 350, 169]",34,0.012,2.7519999999999993
12,cv_no12,"[129, 319, 130]",34,0.721,11.555
13,cv_no13,"[188, 351, 189]",34,0.271,4.18
14,cv_no14,"[283, 306, 46]",34,0.058,1.1759999999999997
15,cv_no15,"[194, 354, 195]",34,0.112,2.002
16,cv_no16,"[293, 325, 236]",34,0.439,7.074999999999999
17,cv_no17,"[192, 355, 193]",34,0.157,1.865
18,cv_no18,"[44, 394, 284]",34,0.011,0.2620000000000001
19,cv_no19,"[218, 404, 252]",34,0.011,3.3979999999999997
20,cv_no20,"[303, 362, 176]",34,0.214,4.672
21,cv_no21,"[247, 300, 251]",34,0.193,6.839999999999999
22,cv_no22,"[304, 364, 182]",34,0.218,3.9580000000000006
23,cv_no23,"[181, 365, 304]",34,0.217,4.054
24,cv_no24,"[243, 298, 234]",34,0.431,6.875
25,cv_no25,"[319, 347, 246]",34,0.641,10.325
26,cv_no26,"[31, 372, 1]",34,0.108,1.7510000000000001
27,cv_no27,"[23, 361, 303]",34,0.213,4.769
28,cv_no28,"[241, 262, 227]",34,0.81,13.459
29,cv_no29,"[146, 333, 290]",34,0.665,11.269000000000002
30,cv_no30,"[249, 384, 366]",34,0.004,0.23700000000000004
31,cv_no31,"[320, 323, 234]",34,0.448,7.129999999999999
32,cv_no32,"[167, 308, 22]",34,2.103,43.155
33,cv_no33,"[37, 313, 36]",34,0.011,0.5490000000000002
34,cv_no34,"[378, 379, 170]",34,0.225,6.175999999999999
35,cv_no35,"[244, 348, 324]",34,0.482,7.807
36,cv_no36,"[235, 363, 318]",34,0.002,0.37200000000000005
37,cv_no37,"[228, 250, 247]",34,0.041,3.7679999999999993
38,cv_no38,"[131, 332, 132]",34,0.881,14.217
39,cv_no39,"[242, 332, 291]",34,0.732,11.867999999999999
40,cv_no40,"[225, 340, 236]",34,0.45,7.2780000000000005
41,cv_no41,"[244, 395, 257]",34,0.555,8.969999999999999
42,cv_no42,"[117, 399, 116]",34,0.0,0.008
43,cv_no43,"[149, 329, 150]",34,0.202,6.159999999999999
44,cv_no44,"[126, 348, 127]",34,0.454,7.364999999999998
45,cv_no45,"[163, 321, 296]",34,0.168,3.231
