,0,1,2,3,4,5,6,7,8,9
0,0.196,2.469,0.295,0.328,0.318,0.307,0.296,0.285,0.274,0.264
1,0.056,0.002,0.001,0.001,0.001,0.001,0.001,0.001,0.0,0.0
2,0.96,0.644,0.506,0.663,0.706,0.698,0.669,0.634,0.6,0.567
3,0.372,1.398,0.791,0.731,0.674,0.627,0.581,0.541,0.507,0.477
4,1.074,0.123,0.041,0.055,0.051,0.048,0.042,0.037,0.033,0.029
5,0.005,0.05,0.376,1.411,0.749,0.772,0.752,0.715,0.676,0.639
6,0.001,0.014,0.272,0.92,0.351,0.395,0.379,0.358,0.338,0.319
7,0.009,0.266,1.356,0.328,0.34,0.334,0.322,0.308,0.294,0.281
8,0.117,0.059,0.056,0.045,0.042,0.039,0.037,0.035,0.034,0.032
9,0.201,0.411,0.373,0.312,0.29,0.271,0.256,0.242,0.23,0.218
10,0.009,0.088,0.475,0.715,0.905,0.874,0.796,0.733,0.681,0.637
11,2.491,0.023,0.008,0.008,0.026,0.03,0.03,0.028,0.025,0.022
12,0.003,0.052,0.52,1.638,1.201,1.133,1.069,1.003,0.941,0.886
13,0.0,0.003,0.03,0.291,0.76,0.434,0.414,0.384,0.358,0.336
14,0.039,0.164,0.124,0.106,0.097,0.09,0.084,0.079,0.074,0.07
15,0.003,0.006,0.01,0.122,0.49,0.247,0.185,0.165,0.15,0.14
16,0.008,0.088,0.554,0.785,0.704,0.682,0.647,0.608,0.571,0.538
17,0.002,0.003,0.002,0.008,0.028,0.249,0.248,0.229,0.213,0.199
18,0.054,0.026,0.022,0.019,0.018,0.017,0.016,0.015,0.014,0.013
19,1.422,1.562,0.208,0.091,0.038,0.016,0.008,0.006,0.005,0.006
20,0.035,0.854,0.693,0.396,0.349,0.322,0.301,0.284,0.269,0.255
21,2.093,1.223,0.598,0.435,0.354,0.308,0.279,0.259,0.242,0.229
22,0.003,0.048,0.745,0.431,0.329,0.326,0.309,0.293,0.277,0.263
23,0.001,0.066,0.968,0.333,0.315,0.316,0.303,0.288,0.274,0.261
24,0.008,0.084,0.489,0.652,0.72,0.702,0.653,0.607,0.567,0.532
25,0.007,0.073,0.594,1.438,1.019,0.988,0.941,0.886,0.833,0.786
26,0.002,0.022,0.118,0.174,0.193,0.179,0.165,0.153,0.143,0.134
27,0.048,1.192,0.485,0.386,0.342,0.316,0.296,0.28,0.265,0.253
28,0.028,0.302,1.5,1.332,1.27,1.232,1.172,1.107,1.045,0.988
29,0.961,0.182,0.771,0.967,1.014,0.997,0.953,0.903,0.855,0.809
30,0.189,0.003,0.009,0.004,0.003,0.003,0.003,0.003,0.003,0.003
31,0.008,0.079,0.444,0.659,0.783,0.751,0.688,0.636,0.592,0.555
32,2.474,5.569,4.349,3.779,3.507,3.266,3.057,2.87,2.703,2.554
33,0.356,0.007,0.014,0.02,0.021,0.02,0.018,0.017,0.015,0.014
34,1.114,1.133,0.576,0.464,0.395,0.354,0.325,0.303,0.284,0.269
35,0.008,0.081,0.555,0.985,0.77,0.742,0.706,0.666,0.626,0.591
36,0.317,0.008,0.0,0.006,0.007,0.007,0.006,0.005,0.004,0.003
37,2.68,0.372,0.165,0.097,0.065,0.051,0.046,0.043,0.042,0.042
38,0.006,0.089,1.126,1.598,1.452,1.386,1.306,1.224,1.15,1.083
39,0.011,0.116,0.96,1.38,1.181,1.135,1.075,1.011,0.951,0.897
40,0.009,0.093,0.57,0.803,0.73,0.705,0.666,0.625,0.587,0.552
41,0.008,0.087,0.614,1.157,0.881,0.854,0.813,0.766,0.721,0.68
