,no,pt_no,region,temp_I,sekisan_I
0,cv_no0,"[1629, 1662, 304, 1587]",12,0.0,0.0
1,cv_no1,"[1868, 1863, 4296, 4772]",12,0.0,0.0
2,cv_no2,"[4058, 3674, 4679, 4685]",12,0.0,0.0
3,cv_no3,"[3204, 3268, 3218, 4186]",12,0.0,0.0
4,cv_no4,"[869, 902, 646, 4174]",12,0.0,0.0
5,cv_no5,"[2165, 4345, 2195, 4361]",12,0.0,0.0
6,cv_no6,"[2002, 1813, 2039, 4491]",12,0.0,0.0
7,cv_no7,"[2652, 2765, 2805, 4425]",12,0.0,0.0
8,cv_no8,"[2216, 4498, 2116, 4745]",12,0.0,0.0
9,cv_no9,"[3526, 586, 3174, 3158]",12,0.0,0.0
10,cv_no10,"[907, 916, 933, 3859]",12,0.0,0.0
11,cv_no11,"[2846, 4501, 3069, 4903]",12,0.0,0.0
12,cv_no12,"[3715, 4711, 3985, 4868]",12,0.0,0.0
13,cv_no13,"[3312, 3332, 3298, 5032]",12,0.0,0.0
14,cv_no14,"[194, 4449, 193, 4450]",12,0.0,0.0
15,cv_no15,"[3740, 4592, 4190, 4687]",12,0.0,0.0
16,cv_no16,"[3798, 4529, 3854, 4683]",12,0.0,0.0
17,cv_no17,"[627, 3825, 3623, 4670]",12,0.0,0.0
18,cv_no18,"[2197, 4446, 2196, 4447]",12,0.0,0.0
19,cv_no19,"[3978, 4457, 3665, 4594]",12,0.0,0.0
20,cv_no20,"[3943, 4322, 4879, 4937]",12,0.0,0.0
21,cv_no21,"[3569, 3603, 4068, 4661]",12,0.0,0.0
22,cv_no22,"[3873, 3992, 1096, 4860]",12,0.0,0.0
23,cv_no23,"[4028, 3629, 4378, 4938]",12,0.0,0.0
24,cv_no24,"[3947, 4734, 4271, 4933]",12,0.0,0.0
25,cv_no25,"[1640, 1626, 1681, 4011]",12,0.0,0.0
26,cv_no26,"[3444, 3441, 3357, 4105]",12,0.0,0.0
27,cv_no27,"[3514, 3502, 3350, 4120]",12,0.0,0.0
28,cv_no28,"[2691, 4124, 2652, 5037]",12,0.0,0.0
29,cv_no29,"[669, 732, 748, 4182]",12,0.0,0.0
30,cv_no30,"[3138, 3139, 3123, 4352]",12,0.0,0.0
31,cv_no31,"[1045, 1044, 1046, 4189]",12,0.0,0.0
32,cv_no32,"[1329, 1543, 1505, 4986]",12,0.0,0.0
33,cv_no33,"[2059, 1926, 1964, 4056]",12,0.0,0.0
34,cv_no34,"[3921, 4660, 4026, 4753]",12,0.0,0.0
35,cv_no35,"[2196, 4447, 4446, 4563]",12,0.0,0.0
36,cv_no36,"[2430, 2447, 2398, 4784]",12,0.0,0.0
37,cv_no37,"[1884, 1835, 1857, 4616]",12,0.0,0.0
38,cv_no38,"[3903, 4613, 3656, 4887]",12,0.0,0.0
39,cv_no39,"[834, 830, 3686, 4565]",12,0.0,0.0
40,cv_no40,"[3650, 3846, 4629, 4848]",12,0.0,0.0
41,cv_no41,"[3741, 4109, 4327, 5022]",12,0.0,0.0
42,cv_no42,"[2077, 2316, 2220, 4846]",12,0.0,0.0
43,cv_no43,"[2292, 4737, 4018, 4838]",12,0.0,0.0
44,cv_no44,"[3622, 4490, 4172, 4609]",12,0.0,0.0
45,cv_no45,"[123, 990, 1206, 651]",12,0.0,0.0
46,cv_no46,"[651, 726, 990, 4463]",12,0.0,0.0
47,cv_no47,"[3626, 3856, 4472, 4540]",12,0.0,0.0
48,cv_no48,"[3636, 4102, 3699, 4864]",12,0.0,0.0
49,cv_no49,"[4023, 3732, 4850, 4958]",12,0.0,0.0
50,cv_no50,"[3724, 3908, 3728, 4763]",12,0.0,0.0
