,pt_no,coordinate
0,pt_no0,"[[11.68918938753561], [44.05322541299822], [2.98380346833592]]"
1,pt_no1,"[[11.68918938753561], [43.53277131827286], [7.941178515380136]]"
2,pt_no2,"[[11.68918938753561], [48.00675659691488], [5.799999999999988]]"
3,pt_no3,"[[7.550801153624796], [48.00675659691488], [3.043642792362974]]"
4,pt_no4,"[[-34.19542401988728], [2.113975243400624], [-4.200000000000003]]"
5,pt_no5,"[[-30.10567043833201], [1.866822197465147], [-4.200000000000003]]"
6,pt_no6,"[[-32.26602693812152], [3.569274398149169], [0.6212781153855049]]"
7,pt_no7,"[[-29.50371926928273], [0.2660461427679868], [-0.1697871484384956]]"
8,pt_no8,"[[-3.231787725318625], [-30.27104015525693], [-32.43848911448202]]"
9,pt_no9,"[[1.628120563501541], [-26.68814446731561], [-35.73239384014483]]"
10,pt_no10,"[[1.628120563501541], [-26.68814446731562], [-30.47512363035201]]"
11,pt_no11,"[[0.7304248899273463], [-32.03437715361018], [-35.69137367045748]]"
12,pt_no12,"[[11.68918938753561], [-32.8657612989266], [-33.25385891729391]]"
13,pt_no13,"[[8.02893534969122], [-36.99324340308539], [-29.46025403784438]]"
14,pt_no14,"[[11.68918938753561], [-33.33298936524093], [-29.46025403784443]]"
15,pt_no15,"[[5.478167488729389], [-30.74874530747304], [-32.12333745267416]]"
16,pt_no16,"[[-65.29330940646896], [-41.99324340308511], [-100.7083200638772]]"
17,pt_no17,"[[-68.1886078623198], [-21.27918750295023], [-123.5]]"
18,pt_no18,"[[-88.3108106124643], [-19.96921671747919], [-101.5745615841965]]"
19,pt_no19,"[[-54.18585583845549], [-5.060308902378697], [-83.23632446644825]]"
20,pt_no20,"[[-29.73633935893305], [34.15548970861525], [-5.000000000000003]]"
21,pt_no21,"[[-34.81996305387167], [35.3906091123462], [-10.23730670028698]]"
22,pt_no22,"[[-32.99290635422007], [37.27507155782186], [-5.000000000000003]]"
23,pt_no23,"[[-28.83512990090087], [36.18647216638931], [-10.45045855679972]]"
24,pt_no24,"[[-23.17153805799273], [13.68035856828457], [-4.200000000000004]]"
25,pt_no25,"[[-22.41062482693189], [17.04992972546111], [-4.200000000000004]]"
26,pt_no26,"[[-25.47556811878397], [15.92921447632491], [-4.200000000000004]]"
27,pt_no27,"[[-22.49161414279829], [17.42480551720924], [0.6712158523048068]]"
28,pt_no28,"[[-34.28463187986229], [-16.41918716810281], [-24.99999999999994]]"
29,pt_no29,"[[-31.02876040978133], [-13.3712905984159], [-24.99999999999994]]"
30,pt_no30,"[[-35.47203944240035], [-12.45188488518761], [-24.99999999999994]]"
31,pt_no31,"[[-35.89207159293181], [-14.30532289427934], [-19.84807991604586]]"
32,pt_no32,"[[2.930647639305441], [39.05943301128333], [-5.000000000000007]]"
33,pt_no33,"[[6.259795382375555], [35.5531643646026], [-11.76734401601736]]"
34,pt_no34,"[[6.887982240429675], [34.9798889993921], [-5.000000000000008]]"
35,pt_no35,"[[0.9113144605481632], [35.74273985072331], [-10.16216786623613]]"
36,pt_no36,"[[7.529529941966182], [-9.477442623041554], [-45.79999999999997]]"
37,pt_no37,"[[11.68918938753561], [-6.993243403085302], [-45.79999999999998]]"
38,pt_no38,"[[11.68918938753561], [-4.401315969267174], [-41.69905390029944]]"
39,pt_no39,"[[11.68918938753561], [-9.493243403085287], [-41.46987298107775]]"
40,pt_no40,"[[29.84822950844973], [-22.26969341831437], [113.5]]"
41,pt_no41,"[[51.68918938753572], [3.006756596914876], [86.19363730508428]]"
42,pt_no42,"[[51.68918938753571], [-19.96921671747922], [91.57456158419652]]"
43,pt_no43,"[[14.74630547100709], [-10.81098554749312], [83.28470640524895]]"
44,pt_no44,"[[-16.36235600508891], [0.7574730227790312], [-25.79999999999994]]"
45,pt_no45,"[[-15.64993267370205], [4.670121198345459], [-29.60455545051514]]"
46,pt_no46,"[[-14.464147657546], [3.239498652700746], [-25.79999999999993]]"
47,pt_no47,"[[-16.11589058587445], [-0.614737106672562], [-29.97933426775221]]"
48,pt_no48,"[[-27.23248317832946], [-0.9369811160307477], [25.61966118970384]]"
49,pt_no49,"[[-25.85757637210448], [5.645882278674758], [20.99595006109763]]"
50,pt_no50,"[[-21.27047831268143], [2.910144204606794], [22.44238403051295]]"
51,pt_no51,"[[-23.75965880237756], [-3.288517792419471], [21.57142423485439]]"
52,pt_no52,"[[-48.31081061246439], [-16.85117275968449], [-34.34054879306871]]"
53,pt_no53,"[[-48.31081061246439], [-16.99324340308535], [-38.41087946968766]]"
54,pt_no54,"[[-48.31081061246439], [-12.38721811944848], [-37.08428989552836]]"
55,pt_no55,"[[-43.98048347572932], [-18.83509530996538], [-36.52206092932784]]"
56,pt_no56,"[[16.68918938753561], [-11.99324340308497], [16.59999999999999]]"
57,pt_no57,"[[22.02994361043587], [-15.36419320735833], [25.69837708541294]]"
58,pt_no58,"[[16.68918938753561], [-16.99324340308496], [16.59999999999999]]"
59,pt_no59,"[[31.50146947067454], [-23.54073791379443], [14.55059302981789]]"
60,pt_no60,"[[-13.21036691226772], [6.160768915933505], [9.441485990497803]]"
61,pt_no61,"[[-16.13855164387802], [4.458387312485724], [11.85759659443626]]"
62,pt_no62,"[[-13.43919082307263], [1.058725882923437], [10.69953823102164]]"
63,pt_no63,"[[-10.09665695743178], [4.068382776350533], [11.70153447142421]]"
64,pt_no64,"[[-39.74766574672172], [2.791127407522792], [-18.14286771930567]]"
65,pt_no65,"[[-43.25567082501663], [4.17921276437048], [-14.50236616948674]]"
66,pt_no66,"[[-39.87196336512749], [1.600787789293051], [-11.43831972805354]]"
67,pt_no67,"[[-37.3441888845677], [4.233503771576201], [-14.34901270311656]]"
68,pt_no68,"[[-88.3108106124643], [-20.23489206680271], [38.40314680553249]]"
69,pt_no69,"[[-58.41256837316024], [-14.78399600992771], [54.21018631219019]]"
70,pt_no70,"[[-68.37981696886847], [-14.62911322784343], [32.61951515032089]]"
71,pt_no71,"[[-64.38982797296185], [1.111221398886758], [45.11824302313698]]"
72,pt_no72,"[[-16.2159305069283], [-25.09009334081036], [-5.000000000000004]]"
73,pt_no73,"[[-15.23661831231672], [-21.454744189794], [-10.07554136111973]]"
74,pt_no74,"[[-11.93496822070954], [-26.3573249312588], [-5.000000000000005]]"
75,pt_no75,"[[-15.63787899329401], [-27.21696338367804], [-10.34598939188491]]"
76,pt_no76,"[[-3.790012466186625], [6.618188276047892], [-19.17433595484825]]"
77,pt_no77,"[[-4.621238502751399], [4.523836610062038], [-14.67470740922256]]"
78,pt_no78,"[[1.148256065781173], [4.005578899531264], [-14.99999999999997]]"
79,pt_no79,"[[-0.3746050899461868], [9.468737116059973], [-16.43341949306339]]"
80,pt_no80,"[[-28.73945730394768], [-23.79487843472323], [-11.34558811012948]]"
81,pt_no81,"[[-26.53810358598886], [-17.90156808795985], [-10.47259029099925]]"
82,pt_no82,"[[-24.34663334969509], [-22.23717142302479], [-9.834261401963712]]"
83,pt_no83,"[[-25.47127045864303], [-23.31031611617901], [-14.75784482590667]]"
84,pt_no84,"[[-15.65127929756469], [4.671809811258897], [38.89629243821828]]"
85,pt_no85,"[[-22.13966057486352], [6.162879635801531], [28.66518671701882]]"
86,pt_no86,"[[-23.18354027632453], [12.89739299137285], [37.59028965274435]]"
