,0
0,4818
1,4815
2,5023
3,5018
4,4626
5,4632
6,5033
7,4620
8,3412
9,4881
10,4627
11,3186
12,5004
13,5019
14,5021
15,4860
16,4598
17,4956
18,4577
19,3219
20,4981
21,4983
22,4828
23,4829
24,4941
25,4940
26,4592
27,4637
28,5032
29,4621
30,4604
31,4636
32,3519
33,5011
34,4996
35,5022
36,4862
37,4923
38,4953
39,4879
40,4890
41,4982
42,4980
43,4931
44,4928
45,4827
46,4830
47,4986
48,3336
49,1438
50,4683
51,4496
52,4561
53,4664
54,4563
55,4573
56,4551
57,4679
58,3424
59,4280
60,4555
61,4570
62,4560
63,4530
64,4541
65,4545
66,4540
67,4548
68,1338
69,1363
70,4567
71,4686
72,4500
73,4502
74,4550
75,4513
76,4558
77,4562
78,4767
79,4766
80,4825
81,4892
82,5034
83,4823
84,4861
85,3404
86,4822
87,4784
88,4639
89,3123
90,4821
91,4834
92,3849
93,4911
94,4772
95,3318
96,4652
97,4836
98,4900
99,4899
100,4535
101,4614
102,4615
103,4518
104,4520
105,4628
106,1360
107,4723
108,4724
109,4906
110,3575
111,4847
112,4731
113,3524
114,4527
115,2287
116,4352
117,4791
118,766
119,4913
120,3037
121,4526
122,2626
123,176
124,4743
125,4715
126,4777
127,2733
128,4595
129,4532
130,4516
131,4515
132,4602
133,4603
134,4717
135,4741
136,3761
137,4722
138,4591
139,3679
140,4835
141,4537
142,4787
143,4650
144,4651
145,4794
146,3908
147,4694
148,4915
149,2959
150,4778
151,1371
152,4616
153,4617
154,5015
155,4973
156,4898
157,4897
158,5031
159,5030
160,4993
161,4994
162,4053
163,3411
164,1700
165,4978
166,3187
167,3521
168,2057
169,4995
170,4863
171,5006
172,2893
173,2894
174,4256
175,1654
176,1655
177,1454
178,3788
179,2168
180,5024
181,4887
182,3702
183,3703
184,3385
185,3461
186,4374
187,3055
188,4776
189,4748
190,1424
191,1423
192,2683
193,58
194,56
195,2830
196,3504
197,4079
198,3448
199,4345
200,1564
201,1565
202,1532
203,882
204,884
205,4597
206,3313
207,1513
208,3314
209,897
210,3169
211,444
212,2955
213,2954
214,4880
215,4576
216,4643
217,3218
218,1240
219,1274
220,3640
221,3657
222,1478
223,3658
224,2496
225,2494
226,205
227,3199
228,3712
229,3330
230,3725
231,3671
232,1466
233,4004
234,1576
235,688
236,2674
237,1437
238,4846
239,4798
240,3354
241,3867
242,3349
243,3110
244,4819
245,3606
246,3094
247,4926
248,4870
249,4867
250,3171
251,1509
252,4698
253,4699
254,4799
255,4800
256,3165
257,4946
258,3319
259,4905
260,5046
261,5041
262,4844
263,3247
264,4769
265,4745
266,4702
267,3211
268,4763
269,4764
270,4904
271,4737
272,1230
273,3406
274,3182
275,4840
276,4742
277,2991
278,4725
279,3697
280,4987
281,3072
282,4738
283,4932
284,4933
285,4760
286,4761
287,5044
288,3284
289,4921
290,4623
291,4624
292,4716
293,838
294,3115
295,4872
296,3808
297,4873
298,4618
299,4619
300,4655
301,3538
302,4789
303,4649
304,2
305,4701
306,4902
307,3389
308,4506
309,4712
310,1354
311,4579
312,4710
313,4671
314,4672
315,4512
316,4511
317,656
318,3437
319,1975
320,2235
321,4697
322,3686
