,no,pt_no,region,temp_I,integ_I
0,cv_no0,"[84, 470, 666, 1966]",5,3.1500000000000004,957.2999999999998
1,cv_no1,"[891, 1115, 1034, 1933]",5,0.9,288.2999999999993
2,cv_no2,"[571, 701, 628, 2027]",5,5.1000000000000005,1647.2999999999993
3,cv_no3,"[1207, 1167, 1157, 1951]",5,9.45,2736.2999999999993
4,cv_no4,"[527, 501, 539, 1826]",5,1.65,525.5999999999997
5,cv_no5,"[1702, 2033, 1755, 2060]",5,5.55,1724.6999999999996
6,cv_no6,"[1121, 2081, 1921, 2113]",5,0.0,0.45
7,cv_no7,"[1682, 1924, 1841, 2034]",5,18.75,5220.599999999999
8,cv_no8,"[1234, 292, 1815, 2073]",5,0.0,27.14999999999992
9,cv_no9,"[1611, 1555, 1616, 2000]",5,3.1500000000000004,558.4499999999995
10,cv_no10,"[1710, 1757, 2078, 2079]",5,0.0,0.75
11,cv_no11,"[84, 460, 470, 1966]",5,4.95,1525.6499999999987
12,cv_no12,"[1577, 1847, 1582, 1992]",5,25.650000000000002,4520.999999999998
13,cv_no13,"[1641, 1839, 1643, 2002]",5,9.45,1646.1000000000008
14,cv_no14,"[1834, 2079, 1764, 2102]",5,0.0,0.9
15,cv_no15,"[1327, 1294, 1317, 1838]",5,15.45,4077.0000000000005
16,cv_no16,"[1377, 1410, 1400, 1838]",5,10.500000000000002,2459.85
17,cv_no17,"[1545, 1733, 1991, 2045]",5,8.55,2023.3500000000008
18,cv_no18,"[742, 697, 625, 2055]",5,10.649999999999999,3264.2999999999993
19,cv_no19,"[885, 793, 805, 1938]",5,5.55,1719.45
20,cv_no20,"[534, 511, 509, 1910]",5,0.0,15.750000000000027
21,cv_no21,"[1684, 2046, 1751, 2054]",5,4.65,1455.1500000000003
22,cv_no22,"[756, 147, 1038, 1081]",5,0.0,2.55
23,cv_no23,"[1163, 1173, 1161, 1853]",5,85.19999999999999,22551.449999999975
24,cv_no24,"[986, 1879, 980, 2114]",5,0.0,0.15
25,cv_no25,"[537, 481, 99, 828]",5,0.0,16.80000000000002
26,cv_no26,"[975, 998, 951, 1818]",5,0.0,0.3
27,cv_no27,"[237, 1128, 702, 1978]",5,0.15,54.44999999999981
28,cv_no28,"[1034, 1115, 1093, 1933]",5,0.9,292.34999999999934
29,cv_no29,"[1239, 304, 1994, 2051]",5,0.0,3.7499999999999987
30,cv_no30,"[301, 300, 1965, 2105]",5,0.0,1.7999999999999998
