,no,pt_no,region,temp_I,integ_I
0,cv_no0,"[84, 470, 666, 1966]",5,4.05,1139.2500000000002
1,cv_no1,"[891, 1115, 1034, 1933]",5,1.2,345.0000000000001
2,cv_no2,"[571, 701, 628, 2027]",5,6.6,1997.2500000000002
3,cv_no3,"[1207, 1167, 1157, 1951]",5,12.15,3256.8
4,cv_no4,"[527, 501, 539, 1826]",5,2.1,628.5
5,cv_no5,"[1702, 2033, 1755, 2060]",5,7.2,2052.5999999999995
6,cv_no6,"[1121, 2081, 1921, 2113]",5,0.0,0.15
7,cv_no7,"[1682, 1924, 1841, 2034]",5,24.150000000000002,6083.249999999998
8,cv_no8,"[1234, 292, 1815, 2073]",5,0.15,30.149999999999892
9,cv_no9,"[1611, 1555, 1616, 2000]",5,4.65,466.95
10,cv_no10,"[1710, 1757, 2078, 2079]",5,0.0,0.3
11,cv_no11,"[84, 460, 470, 1966]",5,6.449999999999999,1814.6999999999996
12,cv_no12,"[1577, 1847, 1582, 1992]",5,37.05,3806.399999999999
13,cv_no13,"[1641, 1839, 1643, 2002]",5,13.799999999999999,1367.3999999999999
14,cv_no14,"[1834, 2079, 1764, 2102]",5,0.0,0.3
15,cv_no15,"[1327, 1294, 1317, 1838]",5,19.8,4698.6
16,cv_no16,"[1377, 1410, 1400, 1838]",5,13.65,2642.5500000000025
17,cv_no17,"[1545, 1733, 1991, 2045]",5,10.95,2196.1499999999987
18,cv_no18,"[742, 697, 625, 2055]",5,13.799999999999999,3879.6
19,cv_no19,"[885, 793, 805, 1938]",5,7.2,2047.499999999999
20,cv_no20,"[534, 511, 509, 1910]",5,0.0,23.84999999999995
21,cv_no21,"[1684, 2046, 1751, 2054]",5,6.15,1726.9500000000005
22,cv_no22,"[756, 147, 1038, 1081]",5,0.0,2.55
23,cv_no23,"[1163, 1173, 1161, 1853]",5,109.64999999999999,25998.45
24,cv_no24,"[986, 1879, 980, 2114]",5,0.0,0.0
25,cv_no25,"[537, 481, 99, 828]",5,0.0,27.29999999999992
26,cv_no26,"[975, 998, 951, 1818]",5,0.0,0.15
27,cv_no27,"[237, 1128, 702, 1978]",5,0.3,67.64999999999966
28,cv_no28,"[1034, 1115, 1093, 1933]",5,1.2,347.8500000000005
29,cv_no29,"[1239, 304, 1994, 2051]",5,0.0,1.65
30,cv_no30,"[301, 300, 1965, 2105]",5,0.0,1.0499999999999998
31,cv_no31,"[246, 1133, 1816, 2076]",5,0.45,180.89999999999952
32,cv_no32,"[765, 185, 1116, 1046]",5,3.0,888.8999999999993
