,pt_no,coordinate
0,pt_no0,"[[-22.73679187893946], [-11.08589037883124], [35.0725985561985]]"
1,pt_no1,"[[-15.5902946186613], [-17.48674312139172], [36.01126026164259]]"
2,pt_no2,"[[-20.13875258219576], [-13.89973365801948], [43.71640905864921]]"
3,pt_no3,"[[-23.68650352129906], [-19.46967343003634], [34.63150596280452]]"
4,pt_no4,"[[11.14063813826461], [23.00675659691495], [-36.59999999999997]]"
5,pt_no5,"[[6.108667266150373], [17.25528448483864], [-49.21469836879716]]"
6,pt_no6,"[[3.860059482571799], [21.33954473153702], [-36.59999999999997]]"
7,pt_no7,"[[11.81882574339007], [26.79855156825214], [-46.64997826846461]]"
8,pt_no8,"[[8.028935349691249], [3.006756596914993], [-36.59999999999997]]"
9,pt_no9,"[[8.028935349691235], [13.00675659691497], [-36.59999999999997]]"
10,pt_no10,"[[16.6891893875356], [8.006756596914983], [-36.59999999999997]]"
11,pt_no11,"[[11.81980445526223], [3.655828932068575], [-48.00989959569541]]"
12,pt_no12,"[[-49.59103440734644], [-26.00961672420834], [-97.50285712583872]]"
13,pt_no13,"[[-58.80512765960596], [-26.75703383895528], [-108.5908509949105]]"
14,pt_no14,"[[-47.19187616048799], [-30.78708068955433], [-108.5721441720474]]"
15,pt_no15,"[[-55.78506028709367], [-32.90354381932117], [-101.288565050709]]"
16,pt_no16,"[[-13.26435131766811], [-9.204310908647198], [95.04630293084705]]"
17,pt_no17,"[[-15.80783806529476], [-19.38673064423239], [99.46545062852536]]"
18,pt_no18,"[[-4.837539893884264], [-15.18032031565154], [91.37570324240504]]"
19,pt_no19,"[[-4.992083745841562], [-20.61957275625983], [100.5010138104994]]"
20,pt_no20,"[[-18.3687516509426], [-15.28261907946534], [54.65607642189138]]"
21,pt_no21,"[[-17.6778302830857], [-15.11672762232014], [65.2115691394322]]"
22,pt_no22,"[[-27.40755661217147], [-16.06805015879496], [61.16796557146679]]"
23,pt_no23,"[[-20.97396212056378], [-22.46900486761521], [61.03291725974769]]"
24,pt_no24,"[[21.0193164064578], [-41.99324340308512], [26.19999999999997]]"
25,pt_no25,"[[16.68918938753561], [-31.99324340308492], [26.59999999999999]]"
26,pt_no26,"[[19.30187400095127], [-41.99324340308512], [33.78334171464122]]"
27,pt_no27,"[[23.46018668677612], [-32.16825900987308], [34.92100509548749]]"
28,pt_no28,"[[22.43052120023373], [25.95414775860645], [-86.9721709500448]]"
29,pt_no29,"[[25.92348190250921], [24.30979720493036], [-101.2423441915046]]"
30,pt_no30,"[[29.44685178280654], [32.48523647259913], [-95.99299396532186]]"
31,pt_no31,"[[30.24942258834855], [22.2728404203767], [-92.18098242287425]]"
32,pt_no32,"[[-9.526764074530927], [10.97836612258991], [-25.47054411706652]]"
33,pt_no33,"[[-5.788668759410422], [1.377459423403624], [-25.64095208483018]]"
34,pt_no34,"[[-1.363181744809076], [5.023399257172592], [-35.79999999999997]]"
35,pt_no35,"[[1.316777914014597], [10.82662203387644], [-25.75950646610607]]"
36,pt_no36,"[[38.83577900191753], [35.85266743203608], [-87.73613361014878]]"
37,pt_no37,"[[39.64320990607767], [25.17398326512706], [-94.45234536583891]]"
38,pt_no38,"[[40.2889720676017], [35.86155342469509], [-99.86679284553021]]"
39,pt_no39,"[[-79.65055657461996], [13.0067565969149], [-123.5]]"
40,pt_no40,"[[-70.99030253677533], [18.00675659691485], [-123.5]]"
41,pt_no41,"[[-79.6505565746199], [23.0067565969149], [-123.5]]"
42,pt_no42,"[[-74.67016849008179], [18.72247435336898], [-110.1615176718606]]"
43,pt_no43,"[[-18.20745565795097], [14.15617890240497], [-35.79999999999996]]"
44,pt_no44,"[[-22.92663910230306], [5.883473464339815], [-35.79999999999996]]"
45,pt_no45,"[[-13.3899594050388], [5.925640187718678], [-35.79999999999996]]"
46,pt_no46,"[[-18.3108106124644], [8.006756596915112], [-21.82080020362684]]"
47,pt_no47,"[[-62.4305889934754], [-41.99324340308511], [64.07369357065689]]"
48,pt_no48,"[[-58.74826194391843], [-41.99324340308511], [72.13777154604666]]"
49,pt_no49,"[[-53.55032291823196], [-41.99324340308511], [64.96971451024781]]"
50,pt_no50,"[[-62.70704466368202], [-32.09905140582141], [69.07270813400372]]"
51,pt_no51,"[[37.23200082889283], [2.997166154768306], [-26.39058773877692]]"
52,pt_no52,"[[42.44490386051817], [8.351117971296762], [-33.29673535715798]]"
53,pt_no53,"[[40.23391973178806], [16.21453681625604], [-27.22942736687511]]"
54,pt_no54,"[[41.78728539863811], [7.150094295243762], [-18.32180510260123]]"
55,pt_no55,"[[16.68918938753561], [42.50495521098722], [11.30180138592762]]"
56,pt_no56,"[[27.80234370980491], [36.61323028921705], [18.61365310051233]]"
57,pt_no57,"[[16.68918938753561], [33.00675659691484], [14.46025403784438]]"
58,pt_no58,"[[24.07948772940919], [36.99657570447888], [6.438483338809046]]"
59,pt_no59,"[[-88.31081061246428], [39.45475573454358], [-98.81250000000003]]"
60,pt_no60,"[[-88.31081061246428], [31.66515953475422], [-103.7433506980857]]"
61,pt_no61,"[[-88.31081061246428], [39.71608696983184], [-108.234861022876]]"
62,pt_no62,"[[-73.53817469166262], [37.16830539370692], [-100.4890684670194]]"
63,pt_no63,"[[31.68918938753571], [-41.99324340308512], [-123.5]]"
64,pt_no64,"[[26.68918938753571], [-33.33298936524074], [-123.5]]"
65,pt_no65,"[[26.68405873583004], [-41.99324340308512], [-114.8427081452989]]"
66,pt_no66,"[[36.68918938753571], [-41.99324340308513], [-114.8397459621556]]"
67,pt_no67,"[[51.68918938753573], [-6.859266761621583], [-46.09012720381932]]"
68,pt_no68,"[[51.68918938753572], [-16.76239423988515], [-46.09539112453623]]"
69,pt_no69,"[[51.68918938753572], [-11.81537721327372], [-37.53893092148039]]"
70,pt_no70,"[[40.85832710139529], [-15.93626973417408], [-40.86470679058781]]"
71,pt_no71,"[[30.16326458025626], [-30.22154248291597], [-0.358725618649649]]"
72,pt_no72,"[[39.38869720235558], [-21.52513065174089], [-0.2234055934995824]]"
73,pt_no73,"[[34.67057642843866], [-24.91170575247334], [11.04712867783536]]"
74,pt_no74,"[[41.84110971918025], [-31.00669587591243], [5.085836448879498]]"
75,pt_no75,"[[-50.96515960162831], [48.00675659691489], [-107.694074690619]]"
76,pt_no76,"[[-50.10361080937213], [37.43466557498196], [-101.4369131054325]]"
77,pt_no77,"[[-53.25376551158097], [36.26210626580549], [-111.7553496688906]]"
78,pt_no78,"[[-42.68481094000618], [36.81877991232938], [-113.7077285286213]]"
79,pt_no79,"[[3.510060574015885], [24.39564548580367], [-15.79999999999993]]"
80,pt_no80,"[[11.68918938753561], [33.84008993024814], [-20.76721481178222]]"
81,pt_no81,"[[11.68918938753561], [24.3956454858037], [-23.9791288135197]]"
82,pt_no82,"[[1.492403801721149], [33.77232537610779], [-25.99389172148869]]"
83,pt_no83,"[[-45.63131868815312], [38.00675659691483], [113.5]]"
84,pt_no84,"[[-45.63131868815309], [28.00675659691487], [113.5]]"
85,pt_no85,"[[-54.29157272599746], [33.00675659691488], [113.5]]"
86,pt_no86,"[[-50.7063557636918], [26.03148168218168], [103.7628570793786]]"
87,pt_no87,"[[7.63417914579436], [-22.45334654436107], [-57.1043107118584]]"
88,pt_no88,"[[4.351125231265716], [-17.86765598332014], [-67.5299020213353]]"
89,pt_no89,"[[-2.587690522664126], [-27.42691739049533], [-66.54333607733149]]"
90,pt_no90,"[[-2.715894887724692], [-19.83762491506569], [-58.05334552519763]]"
91,pt_no91,"[[16.68918938753561], [33.00675659691481], [-3.660254037844433]]"
92,pt_no92,"[[16.68918938753561], [38.00675659691483], [4.999999999999988]]"
93,pt_no93,"[[16.68918938753561], [28.00675659691478], [4.999999999999988]]"
94,pt_no94,"[[-64.57598513225658], [-2.803667994620292], [-98.28493095550839]]"
95,pt_no95,"[[-62.82288709126559], [1.495900910393788], [-110.7990833450555]]"
96,pt_no96,"[[-52.81565162558059], [-0.3490657157183179], [-103.034407231894]]"
97,pt_no97,"[[-58.4469313347484], [-9.055675019544292], [-103.908813067044]]"
98,pt_no98,"[[-13.41685159358101], [-27.85869585771015], [-94.44981393430731]]"
99,pt_no99,"[[-15.51186393984719], [-23.13412342157309], [-81.08387186481632]]"
100,pt_no100,"[[-22.06351075330806], [-20.87962037129974], [-92.2906442548617]]"
101,pt_no101,"[[-20.77176677548005], [-31.1408473429976], [-86.70495390984651]]"
102,pt_no102,"[[-73.26439578746977], [48.0067565969149], [34.00538755306049]]"
103,pt_no103,"[[-78.31585226557051], [48.0067565969149], [39.91471072798455]]"
104,pt_no104,"[[-80.32759734461976], [48.0067565969149], [28.57733098756427]]"
105,pt_no105,"[[-76.40185486017846], [35.88499662491063], [30.56751557202492]]"
106,pt_no106,"[[-88.31081061246428], [31.64479000876241], [-16.72477461973986]]"
107,pt_no107,"[[-88.31081061246428], [39.4547557345436], [-9.937500000000313]]"
108,pt_no108,"[[-78.1775065953469], [27.15421861324531], [-13.68934045679266]]"
109,pt_no109,"[[-78.68594074225189], [37.34138438515679], [-16.52499743454435]]"
110,pt_no110,"[[-22.77577114080054], [4.618233664252831], [-80.03051076578748]]"
111,pt_no111,"[[-30.07397929754407], [1.168294087807582], [-71.23698006641912]]"
112,pt_no112,"[[-33.33869581043051], [7.165453635648099], [-81.54319177178692]]"
113,pt_no113,"[[-25.78301362015744], [-5.069417811807294], [-81.0598666296571]]"
114,pt_no114,"[[-7.224214767072999], [-25.62149999017448], [-107.6098642495264]]"
115,pt_no115,"[[-12.19161715812941], [-19.61538110762043], [-100.6991075697603]]"
116,pt_no116,"[[-11.77172445753001], [-14.43043888699707], [-111.2068675222696]]"
117,pt_no117,"[[-15.50698619664793], [-24.77050158395406], [-114.4130905952131]]"
118,pt_no118,"[[-53.31081061246439], [-6.958101931466885], [-3.961330546923696]]"
119,pt_no119,"[[-64.6343301390455], [-2.545634579814906], [-7.118439531552728]]"
120,pt_no120,"[[-53.31081061246439], [-11.99324340308543], [-15.0]]"
121,pt_no121,"[[-64.75485654354397], [-13.84687075255862], [-11.48233749758612]]"
122,pt_no122,"[[-5.419696504298464], [-8.919882044141689], [-25.79705072101016]]"
123,pt_no123,"[[-4.361038552581025], [-3.964976872866856], [-15.79999999999994]]"
124,pt_no124,"[[-10.87865154497061], [-1.448927473411838], [-21.52492520252163]]"
125,pt_no125,"[[-45.00954042324234], [3.006756596914556], [-123.5]]"
126,pt_no126,"[[-48.4990013877621], [6.381251510797005], [-112.2809852846273]]"
127,pt_no127,"[[-53.66979446108678], [-1.993243403085344], [-123.5]]"
128,pt_no128,"[[-49.51535898019581], [-4.797550073415369], [-113.3947717564804]]"
129,pt_no129,"[[-88.31081061246428], [22.35470614933104], [-14.99921489089968]]"
130,pt_no130,"[[-88.31081061246428], [12.90900801565905], [-15.24821541420708]]"
131,pt_no131,"[[-88.31081061246428], [17.84732868279195], [-23.80143851322663]]"
