,pt_no,coordinate
0,pt_no0,"[[43.99480007856237], [0.0], [59.88379560815484]]"
1,pt_no1,"[[44.0913013703273], [0.0], [44.91744811353227]]"
2,pt_no2,"[[36.77486020153273], [14.28652227936335], [57.4260192942154]]"
3,pt_no3,"[[52.65817857687031], [13.08116786996455], [59.9490537414926]]"
4,pt_no4,"[[57.01281131324843], [79.0], [52.45935686109917]]"
5,pt_no5,"[[56.89445337152024], [79.0], [37.39584387048993]]"
6,pt_no6,"[[70.0], [79.0], [45.00000000000008]]"
7,pt_no7,"[[55.60326789176204], [61.63373902133223], [44.27049902496479]]"
8,pt_no8,"[[21.00000000000002], [79.0], [108.4132445418711]]"
9,pt_no9,"[[34.98433441634035], [79.0], [108.8456192616448]]"
10,pt_no10,"[[28.00000000000002], [79.0], [120.0]]"
11,pt_no11,"[[21.50861545338119], [68.05883580082363], [120.0]]"
12,pt_no12,"[[42.00000000000001], [79.0], [0.0]]"
13,pt_no13,"[[48.55634917749214], [79.0], [10.51989533766322]]"
14,pt_no14,"[[34.97831727562561], [79.0], [11.13504701440749]]"
15,pt_no15,"[[35.0207677719408], [67.49966708876764], [0.0]]"
16,pt_no16,"[[43.97492583587232], [0.0], [74.83849732245928]]"
17,pt_no17,"[[32.57807946959257], [16.0943813340127], [72.96280120690787]]"
18,pt_no18,"[[30.86727543387803], [0.0], [82.15324381269124]]"
19,pt_no19,"[[35.17112784637407], [13.37265307926397], [90.03235068001815]]"
20,pt_no20,"[[70.0], [24.01383327081346], [26.01481453938615]]"
21,pt_no21,"[[70.0], [36.62881291835645], [29.13244347384291]]"
22,pt_no22,"[[70.0], [37.7540688495869], [15.10674504103008]]"
23,pt_no23,"[[53.91593611723431], [35.52851413201588], [30.06110382033042]]"
24,pt_no24,"[[34.97831727562561], [0.0], [11.13504701440749]]"
25,pt_no25,"[[35.00803486406058], [11.64094770246632], [0.0]]"
26,pt_no26,"[[48.55634917749214], [0.0], [10.51989533766322]]"
27,pt_no27,"[[42.00000000000001], [0.0], [0.0]]"
28,pt_no28,"[[0.0], [39.69375399639219], [106.4932511272931]]"
29,pt_no29,"[[0.0], [23.35053529430188], [105.0772454990832]]"
30,pt_no30,"[[0.0], [32.69004271951002], [92.47232346972409]]"
31,pt_no31,"[[19.80298738072862], [34.72713052993404], [101.5076935484477]]"
32,pt_no32,"[[70.0], [13.88456848583276], [67.25231568096032]]"
33,pt_no33,"[[56.99869269515276], [0.0], [67.44694163195227]]"
34,pt_no34,"[[70.0], [0.0], [75.00000000000014]]"
35,pt_no35,"[[70.0], [11.61768818873526], [82.87113226755892]]"
36,pt_no36,"[[27.91354604309326], [58.39703930527362], [0.0]]"
37,pt_no37,"[[21.50861545338119], [68.05883580082363], [0.0]]"
38,pt_no38,"[[36.03795426735567], [63.35606594216661], [15.78981552972324]]"
39,pt_no39,"[[18.96971372009479], [38.24605069429108], [75.14935063722751]]"
40,pt_no40,"[[33.52785101754912], [42.22166749193114], [68.32433091839052]]"
41,pt_no41,"[[35.0], [43.65978643043003], [84.75875746597417]]"
42,pt_no42,"[[37.61535850402769], [28.19271979622443], [81.84371276963918]]"
43,pt_no43,"[[51.17368983579408], [46.63611678062513], [41.45721838520667]]"
44,pt_no44,"[[40.01720586195204], [61.36470929739617], [41.19370263952475]]"
45,pt_no45,"[[43.05765587368175], [51.34014111074262], [58.3062451270433]]"
46,pt_no46,"[[70.0], [66.64027704376053], [53.59281845001679]]"
47,pt_no47,"[[28.00000000000002], [0.0], [120.0]]"
48,pt_no48,"[[34.98433441634035], [0.0], [108.8456192616448]]"
49,pt_no49,"[[21.3781397483111], [11.37005516804176], [120.0]]"
50,pt_no50,"[[35.00803486406058], [11.64094770246632], [120.0]]"
51,pt_no51,"[[21.3781397483111], [11.37005516804176], [0.0]]"
52,pt_no52,"[[28.00000000000002], [0.0], [0.0]]"
53,pt_no53,"[[70.0], [32.21013433724505], [66.52511804461392]]"
54,pt_no54,"[[70.0], [25.11468795268507], [79.70285586119508]]"
55,pt_no55,"[[48.39119086373344], [22.54091908461691], [71.71685987874375]]"
56,pt_no56,"[[53.83127300554138], [39.63557674507884], [120.0]]"
57,pt_no57,"[[41.39277845683974], [25.5798238024848], [120.0]]"
58,pt_no58,"[[38.96396873577166], [39.7686959149726], [120.0]]"
59,pt_no59,"[[41.47849763856763], [40.34086649513237], [101.7219682235633]]"
60,pt_no60,"[[0.0], [23.20589121396663], [53.08524425839305]]"
61,pt_no61,"[[0.0], [30.50922596489691], [40.54876986922388]]"
62,pt_no62,"[[0.0], [38.99603411969149], [53.03759923324552]]"
63,pt_no63,"[[18.03632189700792], [38.73022091305217], [51.01191643015322]]"
64,pt_no64,"[[30.86437815268075], [79.0], [38.36774304097848]]"
65,pt_no65,"[[44.0913013703273], [79.0], [44.91744811353227]]"
66,pt_no66,"[[31.11477951348079], [79.0], [52.31410352397565]]"
67,pt_no67,"[[28.54644113868254], [0.0], [24.16508580866733]]"
68,pt_no68,"[[21.14585702853409], [0.0], [11.10388828912411]]"
69,pt_no69,"[[15.22515051917904], [14.61618737494608], [14.5709041239737]]"
70,pt_no70,"[[35.20674939898066], [15.64473680901504], [15.83870404583371]]"
71,pt_no71,"[[47.36318498173696], [56.08147088484699], [25.0818437964319]]"
72,pt_no72,"[[0.0], [11.61768818873526], [82.87113226755892]]"
73,pt_no73,"[[0.0], [11.36619556203733], [97.27350789547006]]"
74,pt_no74,"[[0.0], [0.0], [90.00000000000009]]"
75,pt_no75,"[[14.95351818780625], [0.0], [83.4558269674486]]"
76,pt_no76,"[[35.0207677719408], [67.49966708876764], [120.0]]"
77,pt_no77,"[[0.0], [53.94620641513887], [77.45359589127044]]"
78,pt_no78,"[[0.0], [66.89854424991904], [68.52272390073922]]"
79,pt_no79,"[[0.0], [66.64173278696255], [82.87429263871286]]"
80,pt_no80,"[[15.54054989144301], [59.97815223213987], [83.9564759063959]]"
81,pt_no81,"[[28.00000000000002], [79.0], [0.0]]"
82,pt_no82,"[[42.37685522595305], [79.0], [100.2398294191833]]"
83,pt_no83,"[[48.60206905967168], [79.0], [109.3855568739334]]"
84,pt_no84,"[[34.49125597459227], [63.25077690243047], [104.1153031290514]]"
85,pt_no85,"[[28.44743020277964], [79.0], [95.79026798934247]]"
86,pt_no86,"[[14.64839445366952], [65.65750900483668], [106.2342288086628]]"
87,pt_no87,"[[15.48444789738652], [16.33926907736807], [58.44169379767779]]"
88,pt_no88,"[[28.34304695486616], [28.06170028158553], [61.4731324765669]]"
89,pt_no89,"[[17.06377166455745], [14.8205342265248], [73.88053609008122]]"
90,pt_no90,"[[56.28058493787053], [18.69831841930105], [84.52663078721228]]"
91,pt_no91,"[[42.30011376045583], [79.0], [19.67101523471158]]"
92,pt_no92,"[[54.53748211565205], [65.10219109703912], [14.50189102420872]]"
93,pt_no93,"[[41.39492267850704], [53.69674210913172], [0.0]]"
94,pt_no94,"[[38.96396873577166], [39.7686959149726], [0.0]]"
95,pt_no95,"[[53.83127300554138], [39.63557674507884], [0.0]]"
96,pt_no96,"[[43.30515416677063], [38.89886400557559], [18.3640004792139]]"
97,pt_no97,"[[21.14585702853409], [79.0], [11.10388828912411]]"
98,pt_no98,"[[42.00000000000001], [79.0], [120.0]]"
99,pt_no99,"[[0.0], [43.5028112341764], [38.69316406711985]]"
