,no,pt_no,region,temp_I,integ_I
0,cv_no0,"[1070, 1069, 1068, 2076]",5,0.0041,0.9787
1,cv_no1,"[623, 717, 696, 2115]",5,0.0068000000000000005,1.6200000000000057
2,cv_no2,"[731, 587, 730, 2008]",5,0.011500000000000002,2.660799999999997
3,cv_no3,"[731, 683, 655, 1920]",5,0.0109,2.5266999999999973
4,cv_no4,"[1785, 1747, 1941, 2128]",5,0.0099,0.39040000000000014
5,cv_no5,"[1686, 2009, 1956, 2157]",5,0.0,0.0001
6,cv_no6,"[537, 95, 896, 2041]",5,0.0,0.0001
7,cv_no7,"[1688, 1973, 2002, 2077]",5,0.0,0.0001
8,cv_no8,"[838, 837, 874, 1825]",5,0.0001,0.019399999999999938
9,cv_no9,"[778, 186, 886, 1004]",5,0.0,0.0
10,cv_no10,"[736, 697, 618, 2066]",5,0.0,0.0
11,cv_no11,"[1646, 1678, 1619, 1638]",5,0.0,0.0
12,cv_no12,"[568, 491, 554, 1897]",5,0.002,0.4881999999999989
13,cv_no13,"[716, 600, 641, 1902]",5,0.0054,1.2707000000000017
14,cv_no14,"[679, 732, 674, 2069]",5,0.0,0.00030000000000000003
15,cv_no15,"[1339, 1417, 1352, 1334]",5,0.0046,0.5272000000000001
16,cv_no16,"[1476, 1481, 1494, 1559]",5,0.0,0.0
17,cv_no17,"[1581, 424, 2062, 2120]",5,0.00030000000000000003,0.0042000000000000015
18,cv_no18,"[1750, 1882, 1827, 2125]",5,0.026900000000000004,5.790400000000004
19,cv_no19,"[1110, 1054, 1099, 1799]",5,0.0037,0.8970000000000001
20,cv_no20,"[613, 610, 656, 1848]",5,0.013800000000000002,3.1843000000000026
21,cv_no21,"[1124, 1978, 1840, 2035]",5,0.0,0.0
22,cv_no22,"[1742, 1997, 1858, 2145]",5,0.0,0.0002
23,cv_no23,"[1097, 1103, 1065, 1990]",5,0.0,0.0
24,cv_no24,"[1375, 1368, 1374, 1421]",5,0.0357,0.23290000000000002
25,cv_no25,"[1573, 2105, 1550, 2128]",5,0.0039000000000000003,0.14410000000000003
26,cv_no26,"[961, 1017, 1006, 2124]",5,0.0,0.0001
27,cv_no27,"[306, 307, 1919, 2097]",5,0.0,0.0015000000000000002
28,cv_no28,"[1854, 2111, 1793, 2121]",5,0.010100000000000001,2.315400000000011
29,cv_no29,"[715, 599, 1051, 145]",5,0.0048000000000000004,1.1389999999999991
30,cv_no30,"[1582, 1581, 425, 2062]",5,0.0013,0.029200000000000007
31,cv_no31,"[1688, 1973, 2077, 2137]",5,0.0,0.0001
32,cv_no32,"[1735, 1982, 1842, 2149]",5,0.0,0.0002
33,cv_no33,"[649, 685, 648, 1824]",5,0.0001,0.01929999999999994
34,cv_no34,"[998, 960, 987, 2156]",5,0.0,0.0
35,cv_no35,"[1714, 2155, 1843, 2156]",5,0.0,0.0
