,pt_no,coordinate
0,pt_no0,"[[51.68918938753571], [-4.654739281235095], [74.69915433616214]]"
1,pt_no1,"[[51.68918938753571], [-12.09504613775091], [87.79250853458709]]"
2,pt_no2,"[[51.68918938753572], [3.040616416123996], [87.60878148144131]]"
3,pt_no3,"[[37.47011803113721], [4.033163753604267], [80.8749000043825]]"
4,pt_no4,"[[12.90609315447939], [48.00675659691488], [56.38012201405245]]"
5,pt_no5,"[[17.23346648184327], [48.00675659691488], [45.70588286409183]]"
6,pt_no6,"[[25.49626705755954], [48.00675659691488], [56.28889790066433]]"
7,pt_no7,"[[18.27515148211751], [35.30985020475073], [61.2754392596865]]"
8,pt_no8,"[[-21.5204183666152], [48.00675659691488], [50.53852368944073]]"
9,pt_no9,"[[-17.54638216384278], [48.00675659691488], [37.91180309720154]]"
10,pt_no10,"[[-8.64229311071119], [48.00675659691488], [47.97856365161967]]"
11,pt_no11,"[[-18.72993442420414], [32.73744257074217], [51.40731424082215]]"
12,pt_no12,"[[-25.9874806932888], [48.00675659691488], [64.94907098989508]]"
13,pt_no13,"[[-33.45164491031969], [48.00675659691488], [54.13412107725897]]"
14,pt_no14,"[[-20.69304144194082], [33.78180886013328], [63.89805359033667]]"
15,pt_no15,"[[-22.33130380285875], [6.070589121332673], [-9.191802723842205]]"
16,pt_no16,"[[-25.16245821857183], [9.43044236802025], [-2.289094620623378]]"
17,pt_no17,"[[-25.57137450799116], [12.45068487078382], [-9.208632753431111]]"
18,pt_no18,"[[-28.82777909268898], [4.457739352136175], [-8.966716143773464]]"
19,pt_no19,"[[-30.81431847351057], [4.802356976248205], [-80.3184852827812]]"
20,pt_no20,"[[-39.22826399878957], [0.2690102361268956], [-91.82769226515273]]"
21,pt_no21,"[[-26.93478103948975], [14.13216986360821], [-92.91866745956025]]"
22,pt_no22,"[[-21.85268683551779], [-0.06936222784892188], [-89.74369693750916]]"
23,pt_no23,"[[-88.3108106124643], [-28.11223736960102], [-99.19115340895348]]"
24,pt_no24,"[[-88.3108106124643], [-41.9932434030851], [-93.87500000000007]]"
25,pt_no25,"[[-76.35010152726343], [-41.9932434030851], [-102.1115214420688]]"
26,pt_no26,"[[-69.65935671226634], [-29.38392748657747], [-95.42410828590855]]"
27,pt_no27,"[[9.4440853617896], [3.180540137442839], [-83.90632242660064]]"
28,pt_no28,"[[18.53559550250973], [-11.05454612927545], [-81.22314272575359]]"
29,pt_no29,"[[5.685915468152768], [-6.549473130228418], [-71.04591388999037]]"
30,pt_no30,"[[1.007310316853987], [-8.14259090801868], [-89.5024207986371]]"
31,pt_no31,"[[30.93180693215354], [-41.99324340308512], [-19.8124999999999]]"
32,pt_no32,"[[38.91772126537482], [-41.99324340308513], [-27.98416247268184]]"
33,pt_no33,"[[29.24145902784975], [-41.99324340308512], [-29.57010002232174]]"
34,pt_no34,"[[33.50703882075723], [-25.26459421683097], [-25.28383053419551]]"
35,pt_no35,"[[-37.58907155644027], [-41.99324340308511], [-111.3705082393357]]"
36,pt_no36,"[[-46.31081061246421], [-41.99324340308511], [-123.5]]"
37,pt_no37,"[[-53.01911007775738], [-41.99324340308511], [-111.9721039389013]]"
38,pt_no38,"[[-39.68562973340831], [-30.80529914737249], [-123.5]]"
39,pt_no39,"[[23.88700602955882], [48.00675659691488], [-102.8172422785764]]"
40,pt_no40,"[[16.74270616351217], [48.00675659691488], [-112.0934420354105]]"
41,pt_no41,"[[30.51864424779114], [48.00675659691488], [-112.0658043342798]]"
42,pt_no42,"[[16.60473049486644], [32.94828613407215], [-108.8355744103219]]"
43,pt_no43,"[[11.68918938753561], [40.20042082827857], [-29.37142857142854]]"
44,pt_no44,"[[0.5789080540473037], [37.10077243988805], [-35.79999999999997]]"
45,pt_no45,"[[2.165423325250043], [38.50493241286508], [-15.79999999999993]]"
46,pt_no46,"[[1.615088318536568], [48.00675659691488], [-25.79999999999994]]"
47,pt_no47,"[[-88.31081061246428], [22.78863328016168], [19.41391939264747]]"
48,pt_no48,"[[-88.31081061246428], [32.93739551741618], [31.46849450557747]]"
49,pt_no49,"[[-88.31081061246428], [17.23425488423642], [31.21821655552066]]"
50,pt_no50,"[[-72.62106317164503], [32.10638079904221], [22.70379653690367]]"
51,pt_no51,"[[-76.75466041102324], [48.0067565969149], [77.31477709502965]]"
52,pt_no52,"[[-76.10633196916035], [48.0067565969149], [63.59918360489013]]"
53,pt_no53,"[[-63.36866757978772], [48.00675659691489], [73.68284083129164]]"
54,pt_no54,"[[-71.69745214102434], [30.57292749500221], [75.93331620506822]]"
55,pt_no55,"[[-25.30919310220716], [48.00675659691488], [-61.63000571640081]]"
56,pt_no56,"[[-40.31131350700832], [48.00675659691489], [-58.0531050605012]]"
57,pt_no57,"[[-37.29032863062794], [48.00675659691489], [-70.76877697869529]]"
58,pt_no58,"[[-26.54098333789558], [33.35169360919656], [-67.73404210695738]]"
59,pt_no59,"[[-16.64842317275838], [37.98481032599828], [25.79999999999999]]"
60,pt_no60,"[[-7.911423597049883], [34.31259349296863], [5.799999999999994]]"
61,pt_no61,"[[-10.8108106124644], [48.00675659691488], [15.8]]"
62,pt_no62,"[[-7.911423597049684], [34.31259349296866], [25.79999999999999]]"
63,pt_no63,"[[-7.911423597049637], [34.31259349296867], [4.999999999999994]]"
64,pt_no64,"[[-16.64842317275837], [37.98481032599836], [4.999999999999996]]"
65,pt_no65,"[[-10.81081061246439], [48.00675659691488], [-4.999999999999964]]"
66,pt_no66,"[[-7.91142359704984], [34.31259349296864], [-14.99999999999993]]"
67,pt_no67,"[[-20.05108223229017], [14.10822019799934], [-15.79999999999993]]"
68,pt_no68,"[[-17.42072687663911], [11.9064682456424], [-15.79999999999993]]"
69,pt_no69,"[[-22.21329466387486], [9.886093866375578], [-21.59224409160456]]"
70,pt_no70,"[[-14.6271429746604], [12.62592971185292], [-22.20581854072433]]"
71,pt_no71,"[[-11.24998523492534], [28.05662179933144], [42.29121109096963]]"
72,pt_no72,"[[-7.295115914880528], [18.59125816445486], [36.55054477275679]]"
73,pt_no73,"[[-10.18842879221373], [16.69033934031902], [46.9189743096501]]"
74,pt_no74,"[[-15.18609655977502], [21.95117152785689], [34.4667988842897]]"
75,pt_no75,"[[51.68918938753572], [-11.75807220695723], [36.08264445192091]]"
76,pt_no76,"[[51.68918938753571], [-27.64208810276885], [33.88548389377898]]"
77,pt_no77,"[[51.68918938753571], [-19.26751804960547], [48.54635155472432]]"
78,pt_no78,"[[32.25483854008581], [-21.86396093522691], [39.43396281591801]]"
79,pt_no79,"[[-22.34827144420808], [48.00675659691488], [78.66901055859654]]"
80,pt_no80,"[[-15.20535786241236], [48.00675659691488], [88.18283596332552]]"
81,pt_no81,"[[-28.80406576765142], [48.00675659691488], [90.49848152289468]]"
82,pt_no82,"[[-22.42046497350353], [31.37183546422334], [82.60502639143301]]"
83,pt_no83,"[[51.68918938753573], [24.35122798107332], [-80.06292960153155]]"
84,pt_no84,"[[36.40855489281425], [30.5172330238553], [-65.24266244422405]]"
85,pt_no85,"[[30.79832692138948], [28.75459869368095], [-81.52594162665002]]"
86,pt_no86,"[[36.52760100492861], [16.20521050006127], [-72.93794123252175]]"
87,pt_no87,"[[-35.93650018486242], [1.547917010977861], [-58.53568317055693]]"
88,pt_no88,"[[-24.60777471134687], [-3.936041347088455], [-68.42783194557917]]"
89,pt_no89,"[[-16.76399420055246], [6.423765479157794], [-55.58175361227984]]"
90,pt_no90,"[[-19.26300141484702], [-8.256685984462372], [-53.10497524450656]]"
91,pt_no91,"[[51.68918938753573], [17.68184171747482], [-93.34600702962615]]"
92,pt_no92,"[[51.68918938753573], [33.58088435404362], [-97.59951287728668]]"
