,pt_no,coordinate
0,pt_no0,"[[-58.3108106124643], [48.00675659691489], [113.5]]"
1,pt_no1,"[[-64.72399166829943], [34.5851265189286], [113.5]]"
2,pt_no2,"[[-64.82081213796087], [48.00675659691489], [101.3253384651731]]"
3,pt_no3,"[[-55.06560956307126], [32.56785127899252], [97.97113219191907]]"
4,pt_no4,"[[40.30885529165037], [-41.99324340308513], [20.25626009633029]]"
5,pt_no5,"[[51.68918938753571], [-30.96869334485079], [28.6461010779265]]"
6,pt_no6,"[[51.68918938753571], [-28.68178597075433], [10.74354711611426]]"
7,pt_no7,"[[31.33403167428515], [-27.33379228400207], [18.20451559829718]]"
8,pt_no8,"[[-32.35670163074697], [48.00675659691488], [38.10395717793346]]"
9,pt_no9,"[[-18.31081061246439], [48.00675659691488], [36.80068881076526]]"
10,pt_no10,"[[-21.59997216374283], [48.00675659691488], [48.88344838170698]]"
11,pt_no11,"[[-17.87284103122263], [35.5806546602649], [46.81584773148367]]"
12,pt_no12,"[[-19.77689015256287], [-23.86019010640408], [26.59999999999999]]"
13,pt_no13,"[[-13.74221375903599], [-18.29051516430208], [26.59999999999999]]"
14,pt_no14,"[[-20.83379416500683], [-15.22128874622624], [26.59999999999999]]"
15,pt_no15,"[[-21.11879014262367], [-15.18328824730126], [37.17053441549159]]"
16,pt_no16,"[[-88.3108106124643], [-28.20432676271151], [26.66882646953391]]"
17,pt_no17,"[[-88.3108106124643], [-14.48446286275625], [34.65474624434142]]"
18,pt_no18,"[[-88.3108106124643], [-28.26353939829129], [42.46424349374297]]"
19,pt_no19,"[[-70.68443514829892], [-24.88290937932998], [31.62559929162744]]"
20,pt_no20,"[[0.5786188830248262], [-20.39674193124079], [85.77302069201475]]"
21,pt_no21,"[[-1.159058208937947], [-27.30465256384636], [75.25135223958169]]"
22,pt_no22,"[[10.01598986772996], [-23.83991736715118], [70.29573234819927]]"
23,pt_no23,"[[10.08492677342329], [-29.70301272911078], [82.64099504340022]]"
24,pt_no24,"[[51.68918938753573], [-16.62838641674017], [-80.86071050849503]]"
25,pt_no25,"[[38.56011006158794], [-13.37147917159892], [-86.7417499361794]]"
26,pt_no26,"[[35.09783166848028], [-23.30934940782168], [-76.40646295433518]]"
27,pt_no27,"[[37.44939148285803], [-10.09679270741706], [-67.41666663602311]]"
28,pt_no28,"[[-31.92952961080271], [11.15309064085029], [41.67485370909959]]"
29,pt_no29,"[[-29.89400519492179], [0.4049942771807817], [48.42373186453373]]"
30,pt_no30,"[[-29.92033389132425], [1.418597042156069], [37.26264100657369]]"
31,pt_no31,"[[-24.36871220446771], [7.784618757143591], [41.67485370909959]]"
32,pt_no32,"[[16.68918938753561], [37.93265552791584], [-25.79999999999998]]"
33,pt_no33,"[[16.68918938753561], [33.00675659691485], [-15.79999999999998]]"
34,pt_no34,"[[33.38051655805264], [31.38768788821465], [-24.23094503781563]]"
35,pt_no35,"[[26.90351903839464], [36.12365298567272], [-11.26706319183706]]"
36,pt_no36,"[[3.505169365704575], [21.51914386261786], [-15.79999999999993]]"
37,pt_no37,"[[-1.329027939307078], [28.35846544727879], [-15.79999999999993]]"
38,pt_no38,"[[11.68918938753561], [28.78056612072436], [-25.79999999999998]]"
39,pt_no39,"[[-3.115931782370998], [16.63628265468274], [-26.66028711226755]]"
40,pt_no40,"[[-22.41861784141449], [-10.59018338513383], [-65.24173069939496]]"
41,pt_no41,"[[-6.717509129906729], [3.853559388085331], [-58.85574143198683]]"
42,pt_no42,"[[-13.33218214329406], [-9.24489528497318], [-51.79579837316953]]"
43,pt_no43,"[[-4.691564162693966], [-10.87232970169624], [-65.49918344363459]]"
44,pt_no44,"[[-49.86222101747212], [36.14616304516493], [113.5]]"
45,pt_no45,"[[-11.86131352079524], [7.674903552950376], [-15.79999999999993]]"
46,pt_no46,"[[-7.740857239015643], [3.754222720494612], [-26.60008180674933]]"
47,pt_no47,"[[-11.36829201101876], [3.640692400358454], [-15.79999999999993]]"
48,pt_no48,"[[-15.42949487260666], [4.393700938850241], [-22.03146031525702]]"
49,pt_no49,"[[-17.7810584599491], [-12.78348695065972], [-35.79999999999996]]"
50,pt_no50,"[[-19.31708254399497], [-0.7293793923794039], [-24.48903822504185]]"
51,pt_no51,"[[-24.86761464664679], [0.7607474153723217], [-35.79999999999996]]"
52,pt_no52,"[[-34.01251277922348], [-5.42371953827555], [-26.28008929876155]]"
53,pt_no53,"[[-6.260161121625249], [-23.56318105815421], [-54.98004413575468]]"
54,pt_no54,"[[-6.95464164924092], [-21.03309068362559], [-78.0183288144191]]"
55,pt_no55,"[[-15.97184407837108], [-28.48635246140344], [-67.20730003587168]]"
56,pt_no56,"[[3.505169365704525], [21.51914386261793], [25.79999999999999]]"
57,pt_no57,"[[1.618363687121775], [13.15633189138009], [25.79999999999999]]"
58,pt_no58,"[[-3.941701099624796], [20.16065708929217], [25.79999999999999]]"
59,pt_no59,"[[-4.936395415353726], [23.98966381862795], [15.79999999999999]]"
60,pt_no60,"[[1.618363687121768], [13.15633189138009], [5.799999999999993]]"
61,pt_no61,"[[3.505169365704514], [21.51914386261794], [5.799999999999993]]"
62,pt_no62,"[[-3.941701099624805], [20.16065708929217], [5.799999999999994]]"
63,pt_no63,"[[-30.6667553176295], [-8.50380221560357], [-14.99999999999994]]"
64,pt_no64,"[[-23.71410515201905], [-4.877049861765086], [-4.999999999999966]]"
65,pt_no65,"[[-27.76733394983434], [-0.6988385820117138], [-8.700473042725848]]"
66,pt_no66,"[[-30.80186989061139], [-12.29117817147784], [-4.542161750177518]]"
67,pt_no67,"[[-30.99035359225449], [48.00675659691488], [103.631766486156]]"
68,pt_no68,"[[-38.06492193248054], [48.00675659691489], [98.42300119092465]]"
69,pt_no69,"[[-28.83727386618385], [48.00675659691488], [97.6580101862673]]"
70,pt_no70,"[[-26.8854555600166], [38.69829125791914], [101.736378556111]]"
71,pt_no71,"[[-43.75726645642911], [-41.99324340308511], [89.97894359960254]]"
72,pt_no72,"[[-37.40871662870457], [-41.99324340308511], [77.61745283431088]]"
73,pt_no73,"[[-50.01888971899398], [-41.99324340308511], [77.1386972072774]]"
74,pt_no74,"[[-49.28472992050598], [-27.15493045110419], [85.55530736634013]]"
75,pt_no75,"[[-88.3108106124643], [-14.22656414012052], [-28.52582039177776]]"
76,pt_no76,"[[-88.31081061246428], [-0.3241139905410577], [-36.29829155823704]]"
77,pt_no77,"[[-88.31081061246428], [-0.5694127970658585], [-20.50159212255028]]"
78,pt_no78,"[[-70.2722720328697], [-7.049337881887165], [-31.69542914089858]]"
79,pt_no79,"[[22.14146246456247], [-14.74228858714176], [82.37781929216563]]"
80,pt_no80,"[[31.9140064351407], [-3.333907063892363], [79.6056615500008]]"
81,pt_no81,"[[21.41345023030825], [1.478389948377136], [69.60972437336726]]"
82,pt_no82,"[[17.45986229542494], [-1.175707235775288], [83.17160147183301]]"
83,pt_no83,"[[40.31906645286067], [48.00675659691487], [-29.31205896001135]]"
84,pt_no84,"[[51.68918938753575], [48.00675659691487], [-28.70000000000002]]"
85,pt_no85,"[[51.68918938753573], [34.25749695212929], [-20.83587082426919]]"
86,pt_no86,"[[51.68918938753573], [34.23057603611217], [-36.66652748051797]]"
87,pt_no87,"[[-31.72563129172826], [6.439970785307807], [26.59999999999999]]"
88,pt_no88,"[[-27.79992793312402], [1.695760048133256], [26.59999999999999]]"
89,pt_no89,"[[-26.43036530266699], [7.184967410754666], [26.59999999999999]]"
90,pt_no90,"[[-24.28725224068705], [7.178107609994772], [32.59705170867726]]"
91,pt_no91,"[[26.30849347556242], [7.082641821116006], [-123.5]]"
92,pt_no92,"[[33.51463219115101], [-1.361260632063293], [-104.2584227611375]]"
93,pt_no93,"[[37.04798795581235], [-4.102556868278093], [-123.5]]"
94,pt_no94,"[[33.37347729977962], [13.23087094865858], [-109.4371190768727]]"
95,pt_no95,"[[-88.3108106124643], [-28.21469112203465], [-36.55185246910864]]"
96,pt_no96,"[[-88.3108106124643], [-28.06126482451086], [-20.7361200292477]]"
97,pt_no97,"[[-88.3108106124643], [-41.9932434030851], [-28.69999999999999]]"
98,pt_no98,"[[-74.78516264756274], [-41.9932434030851], [-33.57364862602353]]"
99,pt_no99,"[[-33.54395058075839], [-18.93047763560712], [-123.5]]"
100,pt_no100,"[[-45.98150346616967], [-16.31921895884323], [-123.5]]"
101,pt_no101,"[[-47.6492448607539], [-28.41053619178327], [-123.5]]"
102,pt_no102,"[[-41.4176383029449], [-22.08511210359794], [-102.8067157138916]]"
103,pt_no103,"[[-53.31081061246439], [33.00675659691481], [-15.0]]"
