,no,cv_no,region,temp_I,integ_I
0,cv_no0,"[407, 151, 362, 150, 408, 156, 363, 155]",7,49.514700000000005,99.5147
1,cv_no1,"[190, 397, 189, 352, 195, 398, 194, 353]",7,49.514700000000005,99.5147
2,cv_no2,"[195, 398, 194, 353, 200, 399, 199, 354]",7,49.514700000000005,99.5147
3,cv_no3,"[200, 399, 199, 354, 205, 400, 204, 355]",7,49.514700000000005,99.5147
4,cv_no4,"[205, 400, 204, 355, 210, 401, 209, 356]",7,49.514700000000005,99.5147
5,cv_no5,"[210, 401, 209, 356, 215, 402, 214, 357]",7,49.514700000000005,99.5147
6,cv_no6,"[215, 402, 214, 357, 220, 403, 219, 358]",7,49.514700000000005,99.5147
7,cv_no7,"[220, 403, 219, 358, 39, 118, 38, 113]",7,49.514700000000005,99.5147
8,cv_no8,"[94, 10, 89, 9, 404, 136, 359, 135]",50,0.34385202276285926,0.6910742449850821
9,cv_no9,"[404, 136, 359, 135, 405, 141, 360, 140]",7,49.514700000000005,99.5147
10,cv_no10,"[405, 141, 360, 140, 406, 146, 361, 145]",7,49.514700000000005,99.5147
11,cv_no11,"[406, 146, 361, 145, 407, 151, 362, 150]",7,49.514700000000005,99.5147
12,cv_no12,"[185, 396, 184, 351, 190, 397, 189, 352]",7,49.514700000000005,99.5147
13,cv_no13,"[408, 156, 363, 155, 409, 161, 364, 160]",7,49.514700000000005,99.5147
14,cv_no14,"[409, 161, 364, 160, 410, 166, 365, 165]",7,49.514700000000005,99.5147
15,cv_no15,"[410, 166, 365, 165, 411, 171, 366, 170]",7,49.514700000000005,99.5147
16,cv_no16,"[411, 171, 366, 170, 412, 176, 367, 175]",7,49.514700000000005,99.5147
17,cv_no17,"[412, 176, 367, 175, 119, 30, 114, 29]",7,49.514700000000005,99.5147
18,cv_no18,"[95, 94, 90, 89, 413, 404, 368, 359]",51,0.34385202276285937,0.6910742449850822
19,cv_no19,"[413, 404, 368, 359, 414, 405, 369, 360]",7,49.514700000000005,99.5147
20,cv_no20,"[414, 405, 369, 360, 415, 406, 370, 361]",7,49.514700000000005,99.5147
21,cv_no21,"[415, 406, 370, 361, 416, 407, 371, 362]",7,49.514700000000005,99.5147
22,cv_no22,"[416, 407, 371, 362, 417, 408, 372, 363]",7,49.514700000000005,99.5147
23,cv_no23,"[395, 386, 350, 341, 396, 387, 351, 342]",7,49.514700000000005,99.5147
24,cv_no24,"[92, 91, 87, 86, 386, 377, 341, 332]",52,0.3438520227628592,0.691074244985082
25,cv_no25,"[386, 377, 341, 332, 387, 378, 342, 333]",7,49.514700000000005,99.5147
26,cv_no26,"[387, 378, 342, 333, 388, 379, 343, 334]",7,49.514700000000005,99.5147
27,cv_no27,"[388, 379, 343, 334, 389, 380, 344, 335]",7,49.514700000000005,99.5147
28,cv_no28,"[389, 380, 344, 335, 390, 381, 345, 336]",7,49.514700000000005,99.5147
29,cv_no29,"[390, 381, 345, 336, 391, 382, 346, 337]",7,49.514700000000005,99.5147
30,cv_no30,"[391, 382, 346, 337, 392, 383, 347, 338]",7,49.514700000000005,99.5147
31,cv_no31,"[392, 383, 347, 338, 393, 384, 348, 339]",7,49.514700000000005,99.5147
32,cv_no32,"[393, 384, 348, 339, 394, 385, 349, 340]",7,49.514700000000005,99.5147
33,cv_no33,"[394, 385, 349, 340, 117, 116, 112, 111]",7,49.514700000000005,99.5147
34,cv_no34,"[93, 92, 88, 87, 395, 386, 350, 341]",53,0.34385202276285914,0.6910742449850816
35,cv_no35,"[417, 408, 372, 363, 418, 409, 373, 364]",7,49.514700000000005,99.5147
36,cv_no36,"[396, 387, 351, 342, 397, 388, 352, 343]",7,49.514700000000005,99.5147
37,cv_no37,"[397, 388, 352, 343, 398, 389, 353, 344]",7,49.514700000000005,99.5147
38,cv_no38,"[398, 389, 353, 344, 399, 390, 354, 345]",7,49.514700000000005,99.5147
39,cv_no39,"[399, 390, 354, 345, 400, 391, 355, 346]",7,49.514700000000005,99.5147
40,cv_no40,"[400, 391, 355, 346, 401, 392, 356, 347]",7,49.514700000000005,99.5147
41,cv_no41,"[401, 392, 356, 347, 402, 393, 357, 348]",7,49.514700000000005,99.5147
42,cv_no42,"[402, 393, 357, 348, 403, 394, 358, 349]",7,49.514700000000005,99.5147
43,cv_no43,"[403, 394, 358, 349, 118, 117, 113, 112]",7,49.514700000000005,99.5147
44,cv_no44,"[19, 93, 18, 88, 180, 395, 179, 350]",54,0.3438520227628591,0.6910742449850823
45,cv_no45,"[180, 395, 179, 350, 185, 396, 184, 351]",7,49.514700000000005,99.5147
46,cv_no46,"[448, 439, 403, 394, 123, 122, 118, 117]",7,49.514700000000005,99.5147
47,cv_no47,"[438, 429, 393, 384, 439, 430, 394, 385]",7,49.514700000000005,99.5147
48,cv_no48,"[439, 430, 394, 385, 122, 121, 117, 116]",7,49.514700000000005,99.5147
49,cv_no49,"[98, 97, 93, 92, 440, 431, 395, 386]",55,0.3438520227628591,0.6910742449850816
50,cv_no50,"[440, 431, 395, 386, 441, 432, 396, 387]",7,49.514700000000005,99.5147
51,cv_no51,"[441, 432, 396, 387, 442, 433, 397, 388]",7,49.514700000000005,99.5147
52,cv_no52,"[442, 433, 397, 388, 443, 434, 398, 389]",7,49.514700000000005,99.5147
53,cv_no53,"[443, 434, 398, 389, 444, 435, 399, 390]",7,49.514700000000005,99.5147
54,cv_no54,"[444, 435, 399, 390, 445, 436, 400, 391]",7,49.514700000000005,99.5147
