,pt_no,coordinate
0,pt_no0,"[[0.4], [0.08333333333333331], [0.2500000000000002]]"
1,pt_no1,"[[0.4000000000000001], [0.0], [0.2500000000000001]]"
2,pt_no2,"[[0.4000000000000001], [0.08333333333333333], [0.1666666666666668]]"
3,pt_no3,"[[0.4000000000000001], [0.0], [0.1666666666666667]]"
4,pt_no4,"[[0.5000000000000003], [0.08333333333333331], [0.2500000000000002]]"
5,pt_no5,"[[0.5000000000000001], [0.0], [0.2500000000000001]]"
6,pt_no6,"[[0.5000000000000003], [0.08333333333333331], [0.1666666666666667]]"
7,pt_no7,"[[0.5000000000000002], [0.0], [0.1666666666666667]]"
8,pt_no8,"[[0.3000000000000002], [0.5], [0.1666666666666667]]"
9,pt_no9,"[[0.3000000000000002], [0.4166666666666666], [0.1666666666666667]]"
10,pt_no10,"[[0.3000000000000001], [0.5], [0.08333333333333334]]"
11,pt_no11,"[[0.3000000000000001], [0.4166666666666668], [0.08333333333333337]]"
12,pt_no12,"[[0.4000000000000001], [0.5], [0.1666666666666667]]"
13,pt_no13,"[[0.4000000000000001], [0.4166666666666667], [0.1666666666666668]]"
14,pt_no14,"[[0.4000000000000001], [0.5], [0.08333333333333334]]"
15,pt_no15,"[[0.4000000000000002], [0.4166666666666671], [0.08333333333333333]]"
16,pt_no16,"[[0.5000000000000002], [0.5], [0.1666666666666667]]"
17,pt_no17,"[[0.5000000000000004], [0.4166666666666667], [0.1666666666666666]]"
18,pt_no18,"[[0.5000000000000001], [0.5], [0.08333333333333334]]"
19,pt_no19,"[[0.5000000000000002], [0.4166666666666671], [0.08333333333333331]]"
20,pt_no20,"[[0.6000000000000003], [0.5], [0.1666666666666667]]"
21,pt_no21,"[[0.6000000000000003], [0.416666666666667], [0.1666666666666666]]"
22,pt_no22,"[[0.6000000000000002], [0.5], [0.08333333333333334]]"
23,pt_no23,"[[0.6000000000000002], [0.4166666666666671], [0.08333333333333337]]"
24,pt_no24,"[[0.7000000000000002], [0.5], [0.1666666666666667]]"
25,pt_no25,"[[0.7000000000000002], [0.4166666666666667], [0.1666666666666667]]"
26,pt_no26,"[[0.7000000000000002], [0.5], [0.08333333333333334]]"
27,pt_no27,"[[0.7000000000000002], [0.4166666666666671], [0.08333333333333337]]"
28,pt_no28,"[[0.8000000000000003], [0.5], [0.1666666666666667]]"
29,pt_no29,"[[0.8000000000000003], [0.4166666666666667], [0.1666666666666666]]"
30,pt_no30,"[[0.8000000000000003], [0.5], [0.08333333333333334]]"
31,pt_no31,"[[0.8000000000000005], [0.4166666666666671], [0.08333333333333331]]"
32,pt_no32,"[[0.9000000000000004], [0.5], [0.1666666666666667]]"
33,pt_no33,"[[0.9000000000000004], [0.4166666666666667], [0.1666666666666667]]"
34,pt_no34,"[[0.9000000000000004], [0.5], [0.08333333333333334]]"
35,pt_no35,"[[0.9000000000000004], [0.4166666666666671], [0.08333333333333331]]"
36,pt_no36,"[[1.0], [0.5], [0.1666666666666667]]"
37,pt_no37,"[[1.0], [0.4166666666666669], [0.1666666666666667]]"
38,pt_no38,"[[1.0], [0.5], [0.08333333333333334]]"
39,pt_no39,"[[1.0], [0.4166666666666669], [0.08333333333333334]]"
40,pt_no40,"[[0.0], [0.08333333333333334], [0.2500000000000001]]"
41,pt_no41,"[[0.0], [0.0], [0.2500000000000001]]"
42,pt_no42,"[[0.0], [0.08333333333333334], [0.1666666666666667]]"
43,pt_no43,"[[0.0], [0.0], [0.1666666666666667]]"
44,pt_no44,"[[0.1], [0.08333333333333337], [0.2500000000000002]]"
45,pt_no45,"[[0.1], [0.0], [0.2500000000000001]]"
46,pt_no46,"[[0.1], [0.08333333333333337], [0.1666666666666668]]"
47,pt_no47,"[[0.1], [0.0], [0.1666666666666667]]"
48,pt_no48,"[[0.2], [0.0833333333333333], [0.2500000000000002]]"
49,pt_no49,"[[0.2], [0.0], [0.2500000000000001]]"
50,pt_no50,"[[0.2], [0.08333333333333331], [0.1666666666666667]]"
51,pt_no51,"[[0.2000000000000001], [0.0], [0.1666666666666667]]"
52,pt_no52,"[[0.3000000000000002], [0.08333333333333337], [0.2500000000000002]]"
53,pt_no53,"[[0.3000000000000001], [0.0], [0.2500000000000001]]"
54,pt_no54,"[[0.3000000000000002], [0.08333333333333337], [0.1666666666666667]]"
55,pt_no55,"[[0.3000000000000002], [0.0], [0.1666666666666667]]"
56,pt_no56,"[[0.2000000000000001], [0.5], [0.1666666666666667]]"
57,pt_no57,"[[0.2], [0.4166666666666667], [0.1666666666666667]]"
58,pt_no58,"[[0.2], [0.5], [0.08333333333333334]]"
59,pt_no59,"[[0.2000000000000001], [0.4166666666666671], [0.08333333333333331]]"
60,pt_no60,"[[0.6000000000000004], [0.08333333333333337], [0.2500000000000002]]"
61,pt_no61,"[[0.6000000000000002], [0.0], [0.2500000000000001]]"
62,pt_no62,"[[0.6000000000000004], [0.08333333333333338], [0.1666666666666667]]"
63,pt_no63,"[[0.6000000000000003], [0.0], [0.1666666666666667]]"
64,pt_no64,"[[0.7000000000000002], [0.08333333333333337], [0.2499999999999999]]"
65,pt_no65,"[[0.7000000000000002], [0.0], [0.2500000000000001]]"
66,pt_no66,"[[0.7000000000000001], [0.08333333333333337], [0.1666666666666667]]"
67,pt_no67,"[[0.7000000000000002], [0.0], [0.1666666666666667]]"
68,pt_no68,"[[0.8], [0.08333333333333331], [0.2500000000000001]]"
69,pt_no69,"[[0.8000000000000003], [0.0], [0.2500000000000001]]"
70,pt_no70,"[[0.8000000000000002], [0.08333333333333331], [0.1666666666666667]]"
71,pt_no71,"[[0.8000000000000003], [0.0], [0.1666666666666667]]"
72,pt_no72,"[[0.9000000000000004], [0.08333333333333331], [0.2500000000000002]]"
73,pt_no73,"[[0.9000000000000004], [0.0], [0.2500000000000001]]"
74,pt_no74,"[[0.9000000000000004], [0.08333333333333333], [0.1666666666666667]]"
75,pt_no75,"[[0.9000000000000004], [0.0], [0.1666666666666667]]"
76,pt_no76,"[[1.0], [0.08333333333333334], [0.2500000000000001]]"
77,pt_no77,"[[1.0], [0.0], [0.2500000000000001]]"
78,pt_no78,"[[1.0], [0.08333333333333334], [0.1666666666666667]]"
79,pt_no79,"[[1.0], [0.0], [0.1666666666666667]]"
80,pt_no80,"[[0.0], [0.1666666666666667], [0.2500000000000001]]"
81,pt_no81,"[[0.0], [0.1666666666666667], [0.1666666666666667]]"
82,pt_no82,"[[0.1000000000000001], [0.1666666666666668], [0.2500000000000002]]"
83,pt_no83,"[[0.1], [0.1666666666666668], [0.1666666666666668]]"
84,pt_no84,"[[0.2], [0.1666666666666666], [0.2500000000000001]]"
85,pt_no85,"[[0.2000000000000001], [0.1666666666666667], [0.1666666666666667]]"
86,pt_no86,"[[0.3], [0.1666666666666667], [0.2500000000000002]]"
87,pt_no87,"[[0.3000000000000003], [0.1666666666666667], [0.1666666666666666]]"
88,pt_no88,"[[0.4000000000000001], [0.1666666666666668], [0.2500000000000002]]"
89,pt_no89,"[[0.4000000000000001], [0.1666666666666667], [0.1666666666666668]]"
90,pt_no90,"[[0.4999999999999998], [0.1666666666666666], [0.2500000000000002]]"
91,pt_no91,"[[0.5000000000000004], [0.1666666666666667], [0.1666666666666667]]"
92,pt_no92,"[[0.1], [0.4166666666666669], [0.1666666666666668]]"
93,pt_no93,"[[0.1], [0.3333333333333336], [0.1666666666666668]]"
94,pt_no94,"[[0.1], [0.416666666666667], [0.08333333333333337]]"
95,pt_no95,"[[0.1], [0.3333333333333335], [0.08333333333333337]]"
96,pt_no96,"[[0.2], [0.3333333333333333], [0.1666666666666666]]"
97,pt_no97,"[[0.2], [0.3333333333333333], [0.08333333333333331]]"
98,pt_no98,"[[0.0], [0.3333333333333334], [0.1666666666666667]]"
99,pt_no99,"[[0.0], [0.25], [0.1666666666666667]]"
100,pt_no100,"[[0.0], [0.3333333333333334], [0.08333333333333334]]"
101,pt_no101,"[[0.0], [0.2500000000000001], [0.08333333333333334]]"
102,pt_no102,"[[0.1000000000000001], [0.2499999999999999], [0.1666666666666668]]"
103,pt_no103,"[[0.1], [0.2500000000000002], [0.08333333333333337]]"
104,pt_no104,"[[0.2000000000000001], [0.2499999999999999], [0.1666666666666666]]"
105,pt_no105,"[[0.2], [0.2500000000000001], [0.0833333333333333]]"
106,pt_no106,"[[0.3000000000000003], [0.3333333333333335], [0.1666666666666667]]"
107,pt_no107,"[[0.3000000000000003], [0.2500000000000001], [0.1666666666666667]]"
108,pt_no108,"[[0.3000000000000001], [0.3333333333333335], [0.08333333333333336]]"
109,pt_no109,"[[0.3000000000000002], [0.2500000000000002], [0.08333333333333337]]"
110,pt_no110,"[[0.4000000000000001], [0.3333333333333335], [0.1666666666666668]]"
111,pt_no111,"[[0.4000000000000001], [0.2499999999999999], [0.1666666666666668]]"
112,pt_no112,"[[0.4000000000000001], [0.3333333333333335], [0.08333333333333331]]"
113,pt_no113,"[[0.4000000000000002], [0.2500000000000002], [0.08333333333333333]]"
114,pt_no114,"[[0.5000000000000004], [0.3333333333333334], [0.1666666666666667]]"
115,pt_no115,"[[0.5000000000000004], [0.2499999999999999], [0.1666666666666666]]"
116,pt_no116,"[[0.5000000000000003], [0.3333333333333334], [0.08333333333333331]]"
117,pt_no117,"[[0.5000000000000003], [0.2500000000000002], [0.08333333333333331]]"
118,pt_no118,"[[0.6000000000000005], [0.3333333333333333], [0.1666666666666667]]"
119,pt_no119,"[[0.6000000000000005], [0.2499999999999999], [0.1666666666666667]]"
120,pt_no120,"[[0.6000000000000002], [0.3333333333333333], [0.08333333333333337]]"
121,pt_no121,"[[0.6000000000000004], [0.2500000000000001], [0.08333333333333337]]"
122,pt_no122,"[[0.7000000000000002], [0.3333333333333333], [0.1666666666666667]]"
123,pt_no123,"[[0.7000000000000002], [0.25], [0.1666666666666667]]"
124,pt_no124,"[[0.7000000000000002], [0.3333333333333333], [0.08333333333333337]]"
125,pt_no125,"[[0.7000000000000002], [0.2499999999999999], [0.08333333333333337]]"
126,pt_no126,"[[0.8000000000000003], [0.3333333333333333], [0.1666666666666667]]"
127,pt_no127,"[[0.8000000000000002], [0.2499999999999999], [0.1666666666666667]]"
128,pt_no128,"[[0.8000000000000003], [0.3333333333333333], [0.08333333333333331]]"
