,no,pt_no,region,temp_I,integ_I
0,cv_no0,"[132, 85, 443, 141]",5,14.6476,14.6476
1,cv_no1,"[79, 80, 149, 171]",5,4.3641,4.3641
2,cv_no2,"[316, 328, 388, 436]",5,66.5111,66.5111
3,cv_no3,"[221, 379, 372, 434]",5,46.9143,46.9143
4,cv_no4,"[112, 320, 389, 394]",5,19.644800000000004,19.644800000000004
5,cv_no5,"[316, 436, 382, 437]",5,65.9982,65.9982
6,cv_no6,"[451, 398, 13, 432]",5,2.0071000000000003,2.0071000000000003
7,cv_no7,"[448, 396, 9, 431]",5,2.0589,2.0589
8,cv_no8,"[114, 387, 391, 418]",5,47.4168,47.4168
9,cv_no9,"[192, 365, 137, 387]",5,6.5444,6.5444
10,cv_no10,"[249, 92, 479, 240]",5,14.0165,14.0165
11,cv_no11,"[174, 81, 458, 175]",5,13.762200000000002,13.762200000000002
12,cv_no12,"[447, 150, 141, 81]",5,14.8926,14.8926
13,cv_no13,"[210, 211, 470, 85]",5,14.374700000000002,14.374700000000002
14,cv_no14,"[83, 84, 207, 131]",5,4.409300000000001,4.409300000000001
15,cv_no15,"[459, 176, 175, 92]",5,14.2269,14.2269
16,cv_no16,"[97, 240, 231, 475]",5,13.7155,13.7155
17,cv_no17,"[471, 97, 211, 212]",5,14.4137,14.4137
18,cv_no18,"[225, 366, 387, 422]",5,2.9697,2.9697
19,cv_no19,"[94, 463, 14, 404]",5,53.0111,53.0111
20,cv_no20,"[15, 462, 94, 403]",5,52.716800000000006,52.716800000000006
21,cv_no21,"[211, 265, 471, 214]",5,21.1886,21.1886
22,cv_no22,"[265, 211, 470, 214]",5,21.1186,21.1186
23,cv_no23,"[241, 479, 268, 240]",5,20.249000000000002,20.249000000000002
24,cv_no24,"[261, 458, 175, 178]",5,20.7767,20.7767
25,cv_no25,"[178, 175, 261, 459]",5,20.898300000000003,20.898300000000003
26,cv_no26,"[240, 268, 241, 475]",5,20.238,20.238
27,cv_no27,"[141, 257, 142, 447]",5,21.4459,21.4459
