,pt_no,coordinate
0,pt_no0,"[[0.0], [1.200000000000004], [0.2499999999999999]]"
1,pt_no1,"[[0.3], [1.25], [0.3]]"
2,pt_no2,"[[0.1881966011250105], [1.375], [0.3999999999999999]]"
3,pt_no3,"[[0.0], [1.200000000000004], [0.4999999999999999]]"
4,pt_no4,"[[0.3], [0.7499999999999999], [0.7]]"
5,pt_no5,"[[0.3], [1.0], [0.7]]"
6,pt_no6,"[[0.0], [0.900000000000003], [0.75]]"
7,pt_no7,"[[0.2499999999999999], [0.900000000000003], [1.0]]"
8,pt_no8,"[[0.4929522996906438], [2.47440507958041], [0.4587183327998524]]"
9,pt_no9,"[[0.4829266676160848], [2.462372422882946], [0.399823766279327]]"
10,pt_no10,"[[0.6276498643788321], [2.450003838773437], [0.2955889404352917]]"
11,pt_no11,"[[0.5773649566068701], [2.321392304501646], [0.4842865082676713]]"
12,pt_no12,"[[0.75], [2.100000000000002], [0.0]]"
13,pt_no13,"[[0.6756385324738885], [2.262194527631212], [0.3500104304219814]]"
14,pt_no14,"[[0.5510240703592278], [2.373605777521576], [0.120847596617031]]"
15,pt_no15,"[[0.516955054687069], [2.294882535086767], [0.2802988808844671]]"
16,pt_no16,"[[0.4], [2.5], [0.6333333333333335]]"
17,pt_no17,"[[0.4524766984002454], [2.549938621977726], [0.7236604738082824]]"
18,pt_no18,"[[0.3192926725409628], [2.735678195619749], [0.5666666666666668]]"
19,pt_no19,"[[0.2956694547430286], [2.687517205193791], [0.7745917354150901]]"
20,pt_no20,"[[0.7119851679472531], [2.563132955921084], [0.4509007371554427]]"
21,pt_no21,"[[0.5810244158851815], [2.48277777299625], [0.5874628511955523]]"
22,pt_no22,"[[0.5999999999999999], [0.4], [0.5999999999999999]]"
23,pt_no23,"[[0.7], [0.2475000000000001], [0.5999999999999999]]"
24,pt_no24,"[[0.7], [0.5], [0.7]]"
25,pt_no25,"[[0.6], [0.3244993672308584], [0.7996662448205722]]"
26,pt_no26,"[[0.3999999999999999], [0.41], [0.4]]"
27,pt_no27,"[[0.3], [0.2475], [0.3999999999999999]]"
28,pt_no28,"[[0.3], [0.5], [0.3]]"
29,pt_no29,"[[0.3999999999999999], [0.3244993672308585], [0.2003337551794277]]"
30,pt_no30,"[[0.4], [2.5], [0.3666666666666664]]"
31,pt_no31,"[[0.2765703406503451], [2.699552568424588], [0.3149285677261413]]"
32,pt_no32,"[[0.2610549333874391], [2.461248893714824], [0.1666666666666666]]"
33,pt_no33,"[[0.2401733485199249], [2.417378166669819], [0.4333333333333331]]"
34,pt_no34,"[[0.2499999999999999], [3.0], [0.2499999999999999]]"
35,pt_no35,"[[0.0681488927981186], [2.917805953973128], [0.3529380829543323]]"
36,pt_no36,"[[0.0], [2.700000000000001], [0.2499999999999999]]"
37,pt_no37,"[[1.0], [1.200000000000004], [0.75]]"
38,pt_no38,"[[0.7], [1.25], [0.7]]"
39,pt_no39,"[[0.8118033988749894], [1.375], [0.5999999999999999]]"
40,pt_no40,"[[1.0], [1.200000000000004], [0.4999999999999999]]"
41,pt_no41,"[[0.2499999999999999], [1.200000000000004], [1.0]]"
42,pt_no42,"[[0.3], [1.25], [0.7]]"
43,pt_no43,"[[0.4], [1.375], [0.8118033988749894]]"
44,pt_no44,"[[0.4999999999999999], [1.200000000000004], [1.0]]"
45,pt_no45,"[[0.1881966011250105], [1.375], [0.5999999999999999]]"
46,pt_no46,"[[0.0], [1.200000000000004], [0.75]]"
47,pt_no47,"[[0.2499999999999999], [1.200000000000004], [0.0]]"
48,pt_no48,"[[0.4999999999999999], [1.200000000000004], [0.0]]"
49,pt_no49,"[[0.4], [1.375], [0.1881966011250105]]"
50,pt_no50,"[[0.3], [0.7499999999999999], [0.3]]"
